Sprungtyp,SprungID,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
Salto A,20191008-1207-FRANKFURT_2-01-49,16.996,16.807,-2.323,0.132,4.711,8.919,209.74,-32.789,15.231,352.915,-55.914,30.111,373.65,66.751
Barani A,20191008-1207-FRANKFURT_2-01-59,17.997,18.134,-1.309,0.78,3.65,-97.965,30.533,114.334,-165.1,50.995,194.948,183.927,252.707,208.877
Salto A,20191008-1207-FRANKFURT_2-01-60,15.809,15.897,-1.654,0.931,4.059,11.124,200.17,-40.171,19.21,339.345,-75.377,36.234,349.09,89.85
Barani A,20191008-1207-FRANKFURT_2-01-62,17.532,17.862,-1.922,0.081,3.758,-79.496,39.886,104.487,-134.465,67.607,176.303,155.92,282.757,206.678
Schraubensalto A,20191008-1207-FRANKFURT_2-01-63,17.624,17.249,-2.454,-0.967,5.815,18.693,107.335,193.736,31.866,185.187,335.602,142.204,304.987,362.292
Barani A,20191008-1207-FRANKFURT_2-01-75,18.067,18.499,-3.172,0.342,2.958,-60.597,30.428,127.388,-100.048,48.645,209.34,111.685,307.738,238.834
Salto A,20191008-1207-FRANKFURT_2-01-76,16.428,16.449,-2.586,0.857,4.41,22.712,204.734,-33.872,37.529,341.752,-55.695,38.943,354.322,75.572
Barani A,20191008-1207-FRANKFURT_2-01-78,18.096,18.58,-1.695,0.598,2.936,-82.264,29.781,112.786,-133.361,45.732,181.31,159.785,263.286,215.346
Schraubensalto A,20191008-1207-FRANKFURT_2-01-79,17.47,17.42,-3.083,-1.067,4.842,43.002,102.823,205.669,71.5,170.408,338.018,133.399,300.153,352.619
Barani A,20191008-1207-FRANKFURT_2-01-88,17.428,17.772,-0.788,0.243,3.262,-92.928,35.044,95.795,-155.407,54.988,158.666,172.264,254.72,183.281
Salto A,20191008-1207-FRANKFURT_2-01-89,15.281,15.447,-0.484,0.719,4.02,22.533,201.243,-22.549,38.408,343.646,-38.043,42.511,354.938,56.765
Barani A,20191008-1207-FRANKFURT_2-01-91,18.061,18.388,-2.054,0.106,3.605,-61.73,17.595,121.917,-102.309,25.945,201.649,126.14,300.898,226.062
Schraubensalto A,20191008-1207-FRANKFURT_2-01-92,17.376,17.24,-3.039,-1.011,4.986,39.297,84.442,199.168,66.738,143.729,337.104,129.928,304.895,381.332
