SprungID,Sprungtyp,mean_Acc_N_Fil,std_Acc_N_Fil,mean_Gyro_x_R,std_Gyro_x_R,mean_Gyro_y_R,std_Gyro_y_R,mean_Gyro_z_R,std_Gyro_z_R,mean_Gyro_x_Fil,std_Gyro_x_Fil,mean_Gyro_y_Fil,std_Gyro_y_Fil,mean_Gyro_z_Fil,std_Gyro_z_Fil
20190930-1153-FRANKFURT_1-01-140,Cody C,5.587,1.507,-3.047,14.842,141.373,29.803,12.078,6.267,-2.701,11.251,143.554,28.85,10.896,3.824
20190930-1153-FRANKFURT_1-01-140,Cody C,47.269,35.071,15.952,27.974,246.123,69.726,-58.119,49.787,15.078,15.569,244.957,44.968,-56.993,33.771
20191007-1150-FRANKFURT_2-01-129,Barani A,64.558,22.917,-5.722,5.22,-150.228,99.847,1.43,33.123,-3.61,4.029,-153.754,90.296,6.959,22.434
20191007-1150-FRANKFURT_2-01-129,Barani A,5.97,2.305,-26.702,24.572,-253.387,88.579,61.034,19.124,-27.576,21.181,-246.007,73.252,62.07,13.426
20191007-1150-FRANKFURT_2-01-129,Barani A,7.836,0.172,-88.112,18.121,-84.718,19.673,157.399,28.529,-87.698,16.681,-87.907,17.394,153.932,26.15
20191007-1150-FRANKFURT_2-01-129,Barani A,10.069,1.614,-148.192,30.359,-102.329,23.881,142.146,24.531,-149.101,27.904,-101.417,14.926,148.256,17.386
20191007-1150-FRANKFURT_2-01-129,Barani A,13.67,0.558,-196.521,13.72,-2.654,55.706,261.192,48.577,-194.732,6.746,-1.682,48.389,252.675,36.675
20191007-1150-FRANKFURT_2-01-129,Barani A,11.872,1.075,-174.54,27.695,136.169,27.062,222.245,42.172,-172.502,24.34,134.375,24.294,223.593,36.714
20191007-1150-FRANKFURT_2-01-129,Barani A,9.954,0.491,-66.23,19.522,150.027,19.307,99.243,41.874,-67.96,20.244,148.143,8.934,99.324,36.153
20191007-1150-FRANKFURT_2-01-129,Barani A,10.142,0.226,-30.077,16.616,165.576,34.878,29.486,20.032,-31.205,12.821,169.5,30.444,31.691,8.516
20191007-1150-FRANKFURT_2-01-129,Barani A,6.54,1.411,-11.006,17.271,249.963,9.912,57.26,14.825,-9.33,12.983,250.739,10.052,54.724,10.327
20191007-1150-FRANKFURT_2-01-129,Barani A,27.645,24.004,56.457,25.881,305.284,44.515,11.724,53.12,51.909,16.802,298.097,22.431,13.848,21.119
20191001-1202-FRANKFURT_2-01-131,Salto A,48.585,27.858,-8.408,30.632,-279.459,147.213,36.155,108.623,-6.749,6.524,-279.334,48.911,16.502,16.021
20191001-1202-FRANKFURT_2-01-131,Salto A,4.967,2.062,4.512,11.224,-106.132,48.126,-14.546,43.852,2.77,5.823,-115.789,46.388,-12.67,22.927
20191001-1202-FRANKFURT_2-01-131,Salto A,8.624,1.267,-15.381,7.27,-124.111,48.998,-3.801,21.641,-13.905,5.345,-124.405,34.505,-7.166,6.074
20191001-1202-FRANKFURT_2-01-131,Salto A,7.71,0.238,-6.964,11.466,-209.352,31.526,-40.298,17.758,-7.219,6.605,-209.085,25.954,-36.826,9.3
20191001-1202-FRANKFURT_2-01-131,Salto A,7.037,0.164,-3.063,6.261,-219.425,14.35,-18.743,7.046,-2.443,4.999,-219.218,11.007,-18.583,5.476
20191001-1202-FRANKFURT_2-01-131,Salto A,7.271,0.104,9.082,3.774,-203.96,3.498,-14.671,6.55,8.591,2.504,-203.712,0.88,-14.45,4.735
20191001-1202-FRANKFURT_2-01-131,Salto A,7.414,0.118,8.792,4.843,-188.795,10.859,-17.882,3.241,9.192,4.132,-188.765,9.65,-18.209,1.758
20191001-1202-FRANKFURT_2-01-131,Salto A,7.37,0.156,20.163,1.502,-170.975,3.038,-5.053,7.125,19.669,0.655,-172.386,3.121,-4.588,6.511
20191001-1202-FRANKFURT_2-01-131,Salto A,7.238,0.234,8.701,6.359,-249.287,46.395,12.068,7.536,8.975,5.409,-251.683,45.724,9.835,6.694
20191001-1202-FRANKFURT_2-01-131,Salto A,40.981,29.621,16.43,15.053,-316.327,170.411,-55.855,210.837,16.028,7.616,-298.697,79.446,-39.894,12.511
0827-BK2-01-106,Salto A,66.354,33.908,14.7,13.419,172.908,76.36,-0.649,13.112,14.052,8.156,170.389,60.479,0.056,6.567
0827-BK2-01-106,Salto A,4.101,1.743,10.89,10.503,85.526,48.11,-0.393,23.425,10.826,8.32,89.514,41.119,0.29,12.445
0827-BK2-01-106,Salto A,7.938,0.637,22.768,8.553,150.753,56.001,-9.823,21.111,22.352,5.6,149.561,52.196,-9.038,12.908
0827-BK2-01-106,Salto A,6.362,0.512,12.828,13.37,239.248,8.558,-5.27,9.405,12.873,11.052,238.909,5.967,-5.469,7.129
0827-BK2-01-106,Salto A,6.015,0.201,8.194,13.368,223.873,7.449,2.356,10.989,8.512,11.951,223.94,6.043,2.479,8.655
0827-BK2-01-106,Salto A,5.807,0.207,24.115,6.899,204.533,11.206,14.964,11.359,23.473,5.959,204.193,10.15,13.976,9.485
0827-BK2-01-106,Salto A,5.619,0.277,4.185,4.848,175.507,7.96,-6.93,10.009,4.548,3.687,175.307,7.84,-6.315,9.477
0827-BK2-01-106,Salto A,5.284,0.093,18.443,7.51,146.206,7.247,-16.698,1.555,17.999,5.877,145.998,7.729,-16.856,0.705
0827-BK2-01-106,Salto A,6.302,0.541,3.178,7.234,122.005,6.512,-5.852,9.007,3.568,6.078,122.979,4.558,-5.916,6.781
0827-BK2-01-106,Salto A,31.509,31.853,1.359,11.322,185.845,71.681,-6.014,8.149,1.873,7.114,180.674,51.094,-6.162,3.635
20191003-1152-FRANKFURT_1-01-107,Strecksprung,63.677,20.656,-7.832,8.943,-2.557,24.503,2.76,11.358,-7.693,4.818,4.543,27.284,2.994,8.853
20191003-1152-FRANKFURT_1-01-107,Strecksprung,5.031,5.538,2.447,9.88,34.001,27.04,23.962,13.315,3.186,8.485,32.075,19.09,21.446,4.865
20191003-1152-FRANKFURT_1-01-107,Strecksprung,1.114,0.484,13.348,11.614,15.233,14.092,-8.141,11.174,12.412,8.657,14.632,10.684,-3.763,8.31
20191003-1152-FRANKFURT_1-01-107,Strecksprung,1.156,0.615,7.645,8.698,-38.16,8.479,27.802,4.426,7.296,5.658,-36.167,8.16,25.047,2.198
20191003-1152-FRANKFURT_1-01-107,Strecksprung,1.304,0.145,2.941,5.25,-26.104,11.989,8.781,7.675,3.166,3.68,-25.513,11.159,8.776,7.855
20191003-1152-FRANKFURT_1-01-107,Strecksprung,0.686,0.315,-1.422,8.029,23.654,15.53,-12.299,3.303,-0.85,5.41,24.158,16.138,-12.415,2.198
20191003-1152-FRANKFURT_1-01-107,Strecksprung,1.233,0.342,-6.58,11.494,65.054,8.576,5.53,31.668,-7.437,9.387,63.097,3.484,5.274,24.41
20191003-1152-FRANKFURT_1-01-107,Strecksprung,1.081,0.235,-24.344,6.019,35.109,14.356,43.374,18.226,-23.259,4.854,34.276,14.033,42.41,11.243
20191003-1152-FRANKFURT_1-01-107,Strecksprung,1.559,0.431,17.598,20.536,-22.406,16.396,20.82,13.799,17.648,19.267,-23.831,18.305,20.257,6.52
20191003-1152-FRANKFURT_1-01-107,Strecksprung,30.683,21.106,24.858,25.473,-67.995,51.408,-24.045,45.945,24.172,19.798,-65.831,32.407,-23.459,16.95
20191003-1152-FRANKFURT_1-01-65,Barani A,66.392,20.366,-39.291,9.756,-60.446,86.302,-37.953,20.42,-37.748,7.07,-56.505,85.359,-35.516,13.983
20191003-1152-FRANKFURT_1-01-65,Barani A,6.989,4.492,43.124,43.442,-206.388,15.1,-58.803,26.995,41.92,36.012,-200.38,14.058,-58.683,17.552
20191003-1152-FRANKFURT_1-01-65,Barani A,5.961,0.489,82.686,6.394,-131.001,13.652,-54.764,7.119,83.911,6.118,-135.242,10.119,-57.068,5.159
20191003-1152-FRANKFURT_1-01-65,Barani A,8.51,0.894,141.433,23.298,-118.881,30.645,-121.886,35.296,141.754,23.923,-118.189,25.393,-122.279,33.606
20191003-1152-FRANKFURT_1-01-65,Barani A,10.122,0.817,238.725,23.09,-67.912,19.949,-196.46,14.258,236.624,20.755,-66.861,15.777,-195.278,6.961
20191003-1152-FRANKFURT_1-01-65,Barani A,10.468,0.27,226.886,26.743,15.808,34.805,-218.81,9.377,224.87,26.112,15.052,31.078,-218.586,7.222
20191003-1152-FRANKFURT_1-01-65,Barani A,10.547,0.282,99.303,40.044,106.769,31.05,-211.271,24.019,100.003,39.154,107.275,27.433,-208.164,23.862
