SprungID,Sprungtyp,Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
generated_Mean_Barani C,Barani C,15.524,-14.282,-418.596,58.92,-15.315,-419.079,59.43
generated_Mean_Barani C,Barani C,12.555,-36.472,-267.554,120.106,-34.66,-264.932,128.037
generated_Mean_Barani C,Barani C,10.336,-17.826,-29.73,218.302,-17.95,-32.243,218.913
generated_Mean_Barani C,Barani C,7.978,-56.741,-3.894,239.66,-56.113,-2.321,235.286
generated_Mean_Barani C,Barani C,6.589,-71.019,81.803,199.172,-69.684,80.574,198.014
generated_Mean_Barani C,Barani C,5.424,-36.554,117.305,125.31,-36.556,117.101,125.841
generated_Mean_Barani C,Barani C,5.725,-13.031,127.749,69.723,-12.839,128.998,70.799
generated_Mean_Barani C,Barani C,4.811,11.683,189.703,32.253,8.007,192.293,29.239
generated_Mean_Grätschwinkel,Grätschwinkel,92.522,1.588,62.747,-6.558,10.588,89.282,-3.486
generated_Mean_Grätschwinkel,Grätschwinkel,9.032,-1.634,20.535,22.913,-0.565,19.074,16.91
generated_Mean_Grätschwinkel,Grätschwinkel,4.042,-6.27,-90.774,-1.105,-5.069,-94.101,0.749
generated_Mean_Grätschwinkel,Grätschwinkel,5.671,-5.599,-208.172,10.334,-5.88,-204.642,10.405
generated_Mean_Grätschwinkel,Grätschwinkel,9.278,-2.216,-143.078,5.082,-3.456,-134.985,3.121
generated_Mean_Grätschwinkel,Grätschwinkel,8.111,-0.178,64.218,7.036,-0.778,62.35,2.152
generated_Mean_Grätschwinkel,Grätschwinkel,5.906,-4.382,126.279,-9.335,-4.138,123.651,-7.123
generated_Mean_Grätschwinkel,Grätschwinkel,3.167,-4.94,71.633,0.056,-4.359,71.223,0.97
generated_Mean_Grätschwinkel,Grätschwinkel,2.306,-1.843,35.719,3.337,-1.11,37.203,3.767
generated_Mean_Grätschwinkel,Grätschwinkel,4.541,-4.418,37.971,6.018,-3.037,41.03,3.689
generated_Mean_Fliffis C,Fliffis C,95.114,25.133,26.011,-7.711,21.675,43.252,0.266
generated_Mean_Fliffis C,Fliffis C,25.034,-51.969,-503.871,28.839,-49.486,-499.088,24.631
generated_Mean_Fliffis C,Fliffis C,40.555,-16.997,-671.699,2.104,-17.323,-664.262,9.567
generated_Mean_Fliffis C,Fliffis C,55.702,-20.452,-702.133,19.602,-20.844,-698.619,21.78
generated_Mean_Fliffis C,Fliffis C,48.158,-20.596,-587.582,51.493,-23.975,-587.153,54.193
generated_Mean_Fliffis C,Fliffis C,28.32,-71.868,-277.063,130.768,-68.133,-278.989,136.436
generated_Mean_Fliffis C,Fliffis C,19.416,-59.884,-15.574,231.668,-57.532,-27.981,233.709
generated_Mean_Fliffis C,Fliffis C,15.001,-44.006,132.151,204.561,-43.349,129.176,202.658
generated_Mean_Fliffis C,Fliffis C,13.506,-14.574,195.725,73.776,-15.396,196.38,76.666
generated_Mean_Fliffis C,Fliffis C,10.544,13.856,300.834,27.43,13.452,302.583,20.64
generated_Mean_1/2 ein 1/2 aus C,1/2 ein 1/2 aus C,108.309,18.58,133.388,-16.784,19.228,193.426,-8.837
generated_Mean_1/2 ein 1/2 aus C,1/2 ein 1/2 aus C,12.641,-51.34,259.76,60.06,-39.571,243.836,21.57
generated_Mean_1/2 ein 1/2 aus C,1/2 ein 1/2 aus C,16.194,-39.032,32.26,-41.044,-40.346,17.911,-30.349
generated_Mean_1/2 ein 1/2 aus C,1/2 ein 1/2 aus C,41.18,-0.956,-466.308,66.056,-4.376,-466.538,57.864
generated_Mean_1/2 ein 1/2 aus C,1/2 ein 1/2 aus C,46.7,-1.636,-619.288,-33.916,-3.419,-618.237,-30.323
generated_Mean_1/2 ein 1/2 aus C,1/2 ein 1/2 aus C,43.155,-19.936,-458.104,-130.068,-22.362,-453.163,-123.782
generated_Mean_1/2 ein 1/2 aus C,1/2 ein 1/2 aus C,21.667,1.82,-44.3,-34.096,-7.325,-48.471,-32.327
generated_Mean_1/2 ein 1/2 aus C,1/2 ein 1/2 aus C,15.144,16.968,112.024,49.096,14.937,115.049,63.669
generated_Mean_1/2 ein 1/2 aus C,1/2 ein 1/2 aus C,13.691,-25.952,186.14,56.928,-26.423,190.617,55.919
generated_Mean_1/2 ein 1/2 aus C,1/2 ein 1/2 aus C,10.563,-3.58,288.004,15.516,-6.928,278.292,25.905
generated_Mean_Doppelsalto B,Doppelsalto B,101.53,31.349,163.316,-9.924,30.657,202.839,-14.483
generated_Mean_Doppelsalto B,Doppelsalto B,6.231,13.181,151.6,-25.246,10.26,170.295,-28.348
generated_Mean_Doppelsalto B,Doppelsalto B,19.868,-1.491,-111.456,-14.253,-3.756,-77.777,-8.04
generated_Mean_Doppelsalto B,Doppelsalto B,26.151,-26.447,561.91,7.166,-27.941,544.134,2.486
generated_Mean_Doppelsalto B,Doppelsalto B,36.537,-26.008,670.341,2.774,-25.907,672.502,3.951
generated_Mean_Doppelsalto B,Doppelsalto B,44.633,1.832,806.053,4.702,0.026,799.805,7.56
generated_Mean_Doppelsalto B,Doppelsalto B,38.871,60.988,650.763,4.95,58.919,657.268,3.167
generated_Mean_Doppelsalto B,Doppelsalto B,11.026,39.388,290.718,-24.133,39.312,293.358,-21.619
generated_Mean_Doppelsalto B,Doppelsalto B,11.157,13.628,149.099,-22.197,14.112,152.763,-21.504
generated_Mean_Doppelsalto B,Doppelsalto B,10.587,6.841,252.224,-10.632,6.469,252.981,-10.814
generated_Mean_1 3/4 Salto vw B,1 3/4 Salto vw B,93.789,35.869,-1.097,-12.377,38.483,18.244,-20.597
generated_Mean_1 3/4 Salto vw B,1 3/4 Salto vw B,30.849,-131.657,-496.611,253.451,-99.484,-504.019,195.887
generated_Mean_1 3/4 Salto vw B,1 3/4 Salto vw B,32.335,-91.589,-686.166,112.949,-88.97,-678.626,104.941
generated_Mean_1 3/4 Salto vw B,1 3/4 Salto vw B,29.209,-63.594,-570.309,79.714,-63.36,-570.006,83.08
generated_Mean_1 3/4 Salto vw B,1 3/4 Salto vw B,17.367,-33.16,-417.714,17.68,-30.893,-408.837,26.187
generated_Mean_1 3/4 Salto vw B,1 3/4 Salto vw B,11.572,-11.114,34.566,55.497,-6.843,21.724,47.597
generated_Mean_1 3/4 Salto vw B,1 3/4 Salto vw B,5.36,-22.743,-37.423,5.56,-21.309,-46.549,1.676
generated_Mean_1 3/4 Salto vw B,1 3/4 Salto vw B,13.573,-37.56,-439.206,40.646,-39.137,-433.163,46.401
generated_Mean_1 3/4 Salto vw B,1 3/4 Salto vw B,22.111,-45.96,-525.274,77.377,-46.271,-525.326,82.676
generated_Mean_1 3/4 Salto vw B,1 3/4 Salto vw B,25.907,-78.737,-297.606,53.091,-47.21,-423.904,21.923
generated_Mean_Fliffis aus C,Fliffis aus C,104.397,-12.538,-121.071,-27.884,-1.491,-84.599,-16.666
generated_Mean_Fliffis aus C,Fliffis aus C,35.356,36.627,-597.916,-2.204,43.343,-579.538,-10.944
generated_Mean_Fliffis aus C,Fliffis aus C,41.181,50.12,-686.782,9.16,51.813,-678.898,0.616
generated_Mean_Fliffis aus C,Fliffis aus C,53.171,49.587,-685.6,-43.422,49.923,-696.436,-42.38
generated_Mean_Fliffis aus C,Fliffis aus C,51.289,53.453,-747.342,36.044,50.32,-729.367,32.693
generated_Mean_Fliffis aus C,Fliffis aus C,26.251,-48.031,-240.093,140.089,-38.694,-269.237,141.191
generated_Mean_Fliffis aus C,Fliffis aus C,21.441,75.031,82.409,318.604,71.262,57.278,319.19
generated_Mean_Fliffis aus C,Fliffis aus C,13.904,45.298,157.951,174.987,44.033,158.913,172.479
generated_Mean_Fliffis aus C,Fliffis aus C,13.242,-26.56,310.422,37.796,-17.793,317.27,27.449
generated_Mean_Fliffis aus C,Fliffis aus C,11.398,41.12,431.92,28.156,37.78,413.699,9.317
generated_Mean_Salto rw B,Salto rw B,92.588,32.52,74.189,-47.309,-5.506,193.669,-27.19
generated_Mean_Salto rw B,Salto rw B,8.135,1.709,226.32,-24.977,-1.433,194.097,-22.489
generated_Mean_Salto rw B,Salto rw B,11.946,4.126,-270.731,33.337,5.736,-255.65,14.709
generated_Mean_Salto rw B,Salto rw B,5.251,16.909,186.451,-13.069,14.369,180.577,-12.263
generated_Mean_Salto rw B,Salto rw B,19.029,6.194,580.051,-28.011,2.136,573.376,-26.111
generated_Mean_Salto rw B,Salto rw B,24.509,-33.234,512.646,-10.406,-31.714,505.37,-7.486
generated_Mean_Salto rw B,Salto rw B,5.602,-8.177,200.32,9.251,-11.254,203.017,11.473
generated_Mean_Salto rw B,Salto rw B,5.874,6.503,93.657,-0.76,6.037,96.293,-0.456
generated_Mean_Salto rw B,Salto rw B,4.4,4.011,188.52,9.886,3.881,183.04,4.663
generated_Mean_Salto rw B,Salto rw B,4.544,-7.0,274.789,-30.726,-10.647,276.616,-28.289
generated_Mean_Salto rw A,Salto rw A,94.585,-16.345,97.342,-8.938,-9.855,176.854,8.591
generated_Mean_Salto rw A,Salto rw A,8.694,19.178,310.622,-25.044,11.779,280.815,-24.352
generated_Mean_Salto rw A,Salto rw A,6.913,-11.124,169.109,-7.055,-14.112,171.181,-7.125
generated_Mean_Salto rw A,Salto rw A,8.095,-24.509,200.847,11.847,-21.32,200.835,12.672
generated_Mean_Salto rw A,Salto rw A,7.202,-6.407,236.68,16.171,-4.468,233.587,16.993
generated_Mean_Salto rw A,Salto rw A,6.63,0.029,206.604,1.847,0.113,205.69,2.664
generated_Mean_Salto rw A,Salto rw A,6.363,8.084,146.298,-6.993,7.58,148.644,-7.936
generated_Mean_Salto rw A,Salto rw A,7.2,-2.418,128.309,-13.335,-2.117,131.025,-13.826
generated_Mean_Salto rw A,Salto rw A,7.068,-15.618,211.647,-5.247,-13.926,213.099,-5.398
generated_Mean_Salto rw A,Salto rw A,5.872,-11.011,322.073,-24.662,-14.872,316.718,-27.775
generated_Mean_Salto rw C,Salto rw C,92.021,21.533,-176.533,58.8,-22.13,122.197,-20.23
generated_Mean_Salto rw C,Salto rw C,8.238,22.027,80.707,13.147,10.283,81.213,35.08
generated_Mean_Salto rw C,Salto rw C,10.049,-9.573,-350.48,141.053,-2.34,-221.66,60.457
generated_Mean_Salto rw C,Salto rw C,14.462,12.533,509.027,0.587,16.337,546.92,-15.937
generated_Mean_Salto rw C,Salto rw C,18.002,7.16,633.067,-43.827,9.523,613.303,-32.593
generated_Mean_Salto rw C,Salto rw C,6.971,19.693,348.027,0.667,10.897,247.107,-9.253
generated_Mean_Salto rw C,Salto rw C,3.676,6.4,48.133,-17.0,6.223,59.223,-14.267
generated_Mean_Salto rw C,Salto rw C,4.828,-13.64,97.64,1.507,-10.407,95.663,-1.823
generated_Mean_Salto rw C,Salto rw C,3.325,-2.773,193.827,6.307,-1.91,183.317,3.16
generated_Mean_Salto rw C,Salto rw C,5.796,-24.08,297.147,-38.787,-23.427,270.813,-44.557
generated_Mean_3/4 Salto vw A,3/4 Salto vw A,98.314,-13.893,-6.04,26.198,0.396,-1.54,2.081
generated_Mean_3/4 Salto vw A,3/4 Salto vw A,6.462,17.136,-90.204,-15.251,13.822,-85.653,-1.143
generated_Mean_3/4 Salto vw A,3/4 Salto vw A,3.084,6.987,36.622,15.724,7.265,28.952,13.549
generated_Mean_3/4 Salto vw A,3/4 Salto vw A,1.903,3.673,-37.918,15.604,3.096,-37.484,15.619
generated_Mean_3/4 Salto vw A,3/4 Salto vw A,1.186,1.558,-114.236,7.971,1.935,-112.898,7.623
generated_Mean_3/4 Salto vw A,3/4 Salto vw A,1.408,6.747,-125.024,8.716,6.687,-125.373,9.606
generated_Mean_3/4 Salto vw A,3/4 Salto vw A,3.181,3.836,-157.429,21.364,4.837,-155.888,19.643
generated_Mean_3/4 Salto vw A,3/4 Salto vw A,7.597,5.049,-190.951,18.024,4.847,-194.174,17.651
generated_Mean_3/4 Salto vw A,3/4 Salto vw A,7.805,-5.896,-211.764,19.14,-5.199,-210.866,15.088
generated_Mean_3/4 Salto vw A,3/4 Salto vw A,8.883,9.929,-113.807,21.224,10.37,-156.507,-3.074
generated_Mean_Baby- Fliffis C,Baby- Fliffis C,107.926,-2.857,9.562,-4.718,0.895,4.659,2.712
generated_Mean_Baby- Fliffis C,Baby- Fliffis C,20.081,-13.643,-130.32,-27.812,-12.323,-143.321,7.962
generated_Mean_Baby- Fliffis C,Baby- Fliffis C,24.204,6.282,-369.235,15.817,5.803,-366.861,17.67
generated_Mean_Baby- Fliffis C,Baby- Fliffis C,28.509,-1.012,-381.496,111.95,-1.874,-376.513,108.678
generated_Mean_Baby- Fliffis C,Baby- Fliffis C,18.425,-34.61,-148.628,225.317,-35.375,-158.723,221.83
generated_Mean_Baby- Fliffis C,Baby- Fliffis C,13.251,-42.03,-15.303,341.583,-43.487,-18.798,331.275
generated_Mean_Baby- Fliffis C,Baby- Fliffis C,11.315,-23.682,53.873,338.52,-22.024,51.84,335.057
generated_Mean_Baby- Fliffis C,Baby- Fliffis C,8.949,-11.464,112.812,159.038,-10.842,112.294,160.63
generated_Mean_Baby- Fliffis C,Baby- Fliffis C,8.64,-2.515,178.245,69.677,-2.142,181.071,69.81
generated_Mean_Baby- Fliffis C,Baby- Fliffis C,9.835,28.948,325.144,-4.197,25.592,311.794,-6.84
generated_Mean_Fliffis aus B,Fliffis aus B,107.671,-6.796,-46.072,-8.584,-2.049,-10.806,-25.932
generated_Mean_Fliffis aus B,Fliffis aus B,33.455,28.048,-524.0,38.48,33.037,-519.845,26.505
generated_Mean_Fliffis aus B,Fliffis aus B,39.878,-7.124,-759.864,19.94,-8.314,-753.52,17.144
generated_Mean_Fliffis aus B,Fliffis aus B,42.002,-14.472,-667.888,-32.068,-12.985,-663.041,-30.742
generated_Mean_Fliffis aus B,Fliffis aus B,26.074,65.644,-323.432,-88.988,62.324,-331.081,-92.537
generated_Mean_Fliffis aus B,Fliffis aus B,19.204,108.176,-212.024,-130.86,110.131,-213.995,-133.749
generated_Mean_Fliffis aus B,Fliffis aus B,20.779,249.56,-62.004,60.556,248.469,-53.544,57.97
generated_Mean_Fliffis aus B,Fliffis aus B,16.698,222.324,190.496,93.344,219.304,181.46,88.653
generated_Mean_Fliffis aus B,Fliffis aus B,13.888,27.332,318.804,-68.624,26.72,294.71,-58.638
generated_Mean_Fliffis aus B,Fliffis aus B,15.028,4.464,368.072,21.76,6.44,362.493,27.629
generated_Mean_Bücksprung,Bücksprung,77.97,-88.52,11.707,35.813,-17.5,-145.517,-65.867
generated_Mean_Bücksprung,Bücksprung,27.039,20.64,-128.813,32.147,11.16,-99.96,34.427
generated_Mean_Bücksprung,Bücksprung,11.821,9.307,235.627,24.84,16.347,238.753,33.197
generated_Mean_Bücksprung,Bücksprung,7.608,2.56,310.8,-27.013,13.407,285.37,-15.887
generated_Mean_Bücksprung,Bücksprung,13.218,9.013,-175.533,-11.293,14.58,-144.6,-7.653
generated_Mean_Bücksprung,Bücksprung,11.772,15.32,-235.373,3.44,10.467,-221.373,3.993
generated_Mean_Bücksprung,Bücksprung,3.753,8.08,-71.387,4.267,5.54,-73.813,5.433
generated_Mean_Bücksprung,Bücksprung,0.68,-14.147,-16.493,7.0,-12.787,-17.13,5.913
generated_Mean_Bücksprung,Bücksprung,1.823,14.893,5.52,-3.973,13.683,7.103,-2.4
generated_Mean_Bücksprung,Bücksprung,2.417,8.173,1.427,18.253,7.83,3.513,14.28
generated_Mean_Hocksprung,Hocksprung,92.203,17.093,-115.053,596.307,18.103,-123.397,-60.47
generated_Mean_Hocksprung,Hocksprung,16.855,12.627,-58.88,58.133,9.183,-47.19,48.883
generated_Mean_Hocksprung,Hocksprung,8.695,-3.267,253.173,-47.653,-1.293,238.223,-14.08
generated_Mean_Hocksprung,Hocksprung,7.166,3.36,125.093,-36.52,2.493,119.407,-24.017
