SprungID,Sprungtyp,Acc_x_Fil_avg_1,Acc_y_Fil_avg_1,Acc_z_Fil_avg_1,Gyro_x_Fil_avg_1,Gyro_y_Fil_avg_1,Gyro_z_Fil_avg_1,Acc_x_Fil_avg_2,Acc_y_Fil_avg_2,Acc_z_Fil_avg_2,Gyro_x_Fil_avg_2,Gyro_y_Fil_avg_2,Gyro_z_Fil_avg_2
0115-CHARI-05-101,Fliffis- Rudi B,-26.066,4.305,5.471,93.566,-454.888,208.572,-13.768,-2.404,-0.175,86.994,116.627,344.669
0609-1-01-107,Doppelsalto C,-23.18,0.133,-5.486,25.578,475.109,3.808,-2.927,0.311,-2.659,31.39,298.948,-9.25
20191008-1207-FRANKFURT_2-01-309,Fliffis C,-29.313,4.523,-7.765,-90.753,-552.756,165.568,-7.783,-1.409,-5.349,-29.466,157.057,172.586
0609-4-01-476,Salto C,-1.172,-0.74,3.423,4.138,246.649,7.207,3.546,-0.419,5.589,8.791,125.88,-1.007
20191007-1159-FRANKFURT_1-01-249,Barani A,-1.169,0.136,3.887,-70.006,-153.838,121.785,-3.76,-1.625,4.819,3.649,221.776,83.653
20191008-1207-FRANKFURT_2-01-92,Schraubensalto A,-3.163,0.21,6.811,96.634,21.067,223.152,-2.923,-2.235,3.119,-18.358,147.283,175.437
0609-1-01-828,Doppelsalto C,-26.995,-0.17,-5.807,2.294,484.992,5.603,-9.443,1.826,-3.609,55.699,348.976,-7.043
0115-MORITZ-03-162,Salto C,-2.929,-1.65,3.802,-7.626,222.221,12.651,3.457,-1.333,5.763,0.414,106.633,7.566
0609-1-01-202,Doppelsalto B,-16.464,-0.1,3.005,3.389,375.862,-16.813,-9.948,1.07,-7.323,46.601,408.397,-4.727
0609-1-01-733,Bauchsprung,1.404,-0.324,9.312,-2.742,-45.927,-4.231,8.555,-0.861,3.962,-3.047,-4.056,1.44
0115-CHARI-05-50,Salto B,-5.541,0.579,3.882,-4.819,220.488,-7.372,0.793,0.841,6.901,-5.95,125.465,-18.395
20191007-1524-FRANKFURT_1-01-57,Barani A,-0.494,2.245,3.432,-120.305,-133.572,115.409,-2.143,-1.377,3.494,-48.752,176.668,103.613
0827-BK2-01-83,Salto B,-2.321,0.33,3.26,11.559,205.037,-14.231,0.873,0.964,6.603,4.156,133.44,2.852
20191007-1524-FRANKFURT_1-01-218,Salto A,1.454,0.309,2.772,19.044,223.757,-23.396,0.204,0.063,5.122,31.565,196.925,-8.857
20191007-1524-FRANKFURT_1-01-95,Fliffis B,-29.976,3.047,-0.198,-37.743,-630.669,99.06,-11.551,2.444,-1.323,35.343,109.592,219.216
20190930-1616-FRANKFURT_1-01-325,Barani A,0.33,1.349,4.904,-112.301,-111.406,97.795,0.201,-0.807,2.645,-66.197,151.129,81.213
0609-1-01-803,Doppelsalto C,-22.406,-0.3,-3.786,4.466,454.0,-18.775,-9.627,0.007,-4.797,21.118,374.772,-13.51
0827-BK2-02-79,Salto B,-5.12,0.865,3.359,4.228,222.275,-29.934,0.334,0.274,6.733,15.137,152.871,-25.554
20191007-1150-FRANKFURT_2-01-224,Fliffis C,-36.774,5.301,-3.216,-88.978,-591.409,17.926,-6.519,1.107,-7.239,-47.726,87.714,224.298
0609-4-01-548,Barani C,-4.017,0.903,5.762,4.846,-209.338,120.79,0.774,-1.366,4.572,-16.679,117.955,129.736
20191008-1207-FRANKFURT_2-01-24,Salto A,-2.267,0.068,4.491,-1.376,180.189,-25.964,-1.645,-0.177,4.689,13.794,217.12,-8.367
