SprungID,Sprungtyp,Acc_x_Fil_avg_1,Acc_y_Fil_avg_1,Acc_z_Fil_avg_1,Gyro_x_Fil_avg_1,Gyro_y_Fil_avg_1,Gyro_z_Fil_avg_1,Acc_x_Fil_avg_2,Acc_y_Fil_avg_2,Acc_z_Fil_avg_2,Gyro_x_Fil_avg_2,Gyro_y_Fil_avg_2,Gyro_z_Fil_avg_2,Acc_x_Fil_avg_3,Acc_y_Fil_avg_3,Acc_z_Fil_avg_3,Gyro_x_Fil_avg_3,Gyro_y_Fil_avg_3,Gyro_z_Fil_avg_3,Acc_x_Fil_avg_4,Acc_y_Fil_avg_4,Acc_z_Fil_avg_4,Gyro_x_Fil_avg_4,Gyro_y_Fil_avg_4,Gyro_z_Fil_avg_4
20191007-1150-FRANKFURT_2-01-152,Rudi,1.539,2.862,14.917,-60.077,-203.948,160.569,-19.974,5.958,-2.091,126.223,-28.893,675.367,-16.33,-1.413,-7.575,38.839,62.193,552.721,1.074,-2.757,12.635,78.272,273.466,62.314
0609-1-01-41,Salto C,3.421,0.392,13.786,0.315,101.17,-16.399,-12.284,0.504,-8.223,25.81,441.281,10.858,0.117,-0.329,-2.637,19.275,132.35,-8.977,5.431,-0.306,16.333,-2.657,65.036,4.475
0609-1-01-773,Bauchsprung,1.699,0.338,19.291,-6.429,-10.324,-0.601,-0.992,-0.115,0.223,-7.027,-94.618,-3.532,0.199,-0.28,-1.217,7.715,-69.078,0.327,16.494,0.081,10.988,-12.742,84.129,-16.569
20191008-1157-FRANKFURT_1-01-332,Salto B,-3.415,0.13,14.941,4.46,40.586,11.267,-1.911,-1.008,-11.978,55.751,410.019,-10.715,-5.504,-0.602,-5.467,20.489,177.749,-46.108,4.63,0.934,17.371,-22.421,143.369,-18.721
20191007-1534-FRANKFURT_2-01-78,Salto A,2.425,1.481,16.153,-29.052,252.567,-16.353,-0.346,-1.594,-7.638,-9.553,190.796,-28.044,-3.529,-2.006,-6.955,-21.014,197.935,-19.375,2.159,2.27,16.87,-10.679,201.265,-24.769
0827-BK1-01-4,Salto C,0.9,-0.321,14.603,2.096,96.814,9.531,-10.27,0.007,-6.987,6.127,374.0,1.771,-1.51,-0.163,-2.511,0.86,144.192,-2.465,5.668,-0.795,15.314,4.017,99.47,7.949
0609-4-01-189,Schraubensalto C,2.986,1.97,17.876,90.195,159.994,142.837,-11.802,-2.165,-2.48,130.165,-97.755,456.744,-5.379,-2.436,-5.66,-27.611,133.911,220.827,3.015,0.484,13.437,25.225,194.985,22.171
0115-MORITZ-03-25,Salto C,4.034,-0.846,16.041,8.829,72.652,6.99,-7.101,-1.061,-3.073,-14.551,262.747,-9.528,-4.657,-1.027,-2.352,-21.589,206.663,1.905,8.217,-1.903,14.362,-8.881,119.071,3.253
0609-4-01-110,Schraubensalto C,3.197,1.812,16.728,91.732,149.025,131.132,-8.668,-1.158,-2.246,133.224,-100.681,380.405,-4.993,-2.989,-7.16,-95.536,107.357,250.275,5.629,-0.963,12.853,8.599,164.927,29.985
20191008-1157-FRANKFURT_1-01-54,Salto A,-0.402,0.162,14.89,-7.735,220.008,-26.053,-0.467,-0.967,-6.456,-26.169,207.693,-0.302,-1.73,-1.368,-5.444,-7.076,142.621,-11.102,-0.206,0.407,16.072,-25.131,226.567,-3.74
