Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd
8.94,33.76,236.8,-1.08,29.84,234.16,-8.45,20191007-1150-FRANKFURT_2-01-86,Salto A,12.558,348.728,-7.837,12.558,348.728,7.837,34.958,348.728,43.933,11.43,87.335,-8.248,0.309,76.875,-4.781,-2.441,84.554,-3.606,3.259,99.964,8.798,11.43,87.335,8.248,0.309,76.875,4.781,-2.441,84.554,3.606,3.259,99.964,-8.798,11.61,87.335,11.367,6.065,76.875,7.652,5.672,84.554,7.155,11.61,99.964,17.759
10.587,-35.2,214.72,7.12,-29.15,223.91,10.86,20191007-1150-FRANKFURT_2-01-86,Salto A,12.558,348.728,-7.837,12.558,348.728,7.837,34.958,348.728,43.933,11.43,87.335,-8.248,0.309,76.875,-4.781,-2.441,84.554,-3.606,3.259,99.964,8.798,11.43,87.335,8.248,0.309,76.875,4.781,-2.441,84.554,3.606,3.259,99.964,-8.798,11.61,87.335,11.367,6.065,76.875,7.652,5.672,84.554,7.155,11.61,99.964,17.759
86.172,26.92,84.84,0.08,13.11,157.88,41.23,20191003-1152-FRANKFURT_1-01-103,Salto A,-15.155,354.988,-3.731,15.155,354.988,3.731,22.863,354.988,30.181,-0.454,60.435,2.63,-2.205,120.884,1.41,-2.239,73.111,-4.417,-10.256,100.558,-3.354,0.454,60.435,2.63,2.205,120.884,1.41,2.239,73.111,-3.662,10.256,100.558,3.354,5.335,60.435,9.588,3.547,120.884,3.162,2.886,73.111,4.868,11.095,100.558,12.563
7.771,-6.08,58.28,6.2,-8.06,64.13,1.78,20191003-1152-FRANKFURT_1-01-103,Salto A,-15.155,354.988,-3.731,15.155,354.988,3.731,22.863,354.988,30.181,-0.454,60.435,2.63,-2.205,120.884,1.41,-2.239,73.111,-4.417,-10.256,100.558,-3.354,0.454,60.435,2.63,2.205,120.884,1.41,2.239,73.111,-3.662,10.256,100.558,3.354,5.335,60.435,9.588,3.547,120.884,3.162,2.886,73.111,4.868,11.095,100.558,12.563
6.995,-23.92,317.12,-15.96,-18.16,316.68,-8.11,20191003-1152-FRANKFURT_1-01-103,Salto A,-15.155,354.988,-3.731,15.155,354.988,3.731,22.863,354.988,30.181,-0.454,60.435,2.63,-2.205,120.884,1.41,-2.239,73.111,-4.417,-10.256,100.558,-3.354,0.454,60.435,2.63,2.205,120.884,1.41,2.239,73.111,-3.662,10.256,100.558,3.354,5.335,60.435,9.588,3.547,120.884,3.162,2.886,73.111,4.868,11.095,100.558,12.563
7.741,3.12,147.12,-17.0,0.1,153.37,-14.08,20191003-1152-FRANKFURT_1-01-103,Salto A,-15.155,354.988,-3.731,15.155,354.988,3.731,22.863,354.988,30.181,-0.454,60.435,2.63,-2.205,120.884,1.41,-2.239,73.111,-4.417,-10.256,100.558,-3.354,0.454,60.435,2.63,2.205,120.884,1.41,2.239,73.111,-3.662,10.256,100.558,3.354,5.335,60.435,9.588,3.547,120.884,3.162,2.886,73.111,4.868,11.095,100.558,12.563
72.2,23.32,236.96,-78.48,27.6,263.02,-40.14,20190930-1153-FRANKFURT_1-01-241,Schraubensalto,31.93,110.204,392.673,31.93,110.204,392.673,167.144,273.248,400.005,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,26.005,83.542,61.217,63.068,62.162,137.705,61.109,47.143,152.27,16.962,80.401,48.813
3.576,135.84,109.88,248.76,136.39,106.55,244.78,20190930-1153-FRANKFURT_1-01-241,Schraubensalto,31.93,110.204,392.673,31.93,110.204,392.673,167.144,273.248,400.005,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,26.005,83.542,61.217,63.068,62.162,137.705,61.109,47.143,152.27,16.962,80.401,48.813
10.238,-15.8,-218.6,313.72,-13.43,-218.11,318.04,20190930-1153-FRANKFURT_1-01-241,Schraubensalto,31.93,110.204,392.673,31.93,110.204,392.673,167.144,273.248,400.005,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,26.005,83.542,61.217,63.068,62.162,137.705,61.109,47.143,152.27,16.962,80.401,48.813
6.9,-50.96,108.88,220.0,-61.45,109.35,215.57,20190930-1153-FRANKFURT_1-01-241,Schraubensalto,31.93,110.204,392.673,31.93,110.204,392.673,167.144,273.248,400.005,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,26.005,83.542,61.217,63.068,62.162,137.705,61.109,47.143,152.27,16.962,80.401,48.813
