Sprungtyp,SprungID,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
Rudi,20190930-1153-FRANKFURT_1-01-202,22.713,21.269,10.355,3.613,25.872,122.725,148.265,218.8
Von Bauch in Stand,0609-1-01-669,23.456,23.493,16.54,1.397,16.818,13.456,66.257,16.86
Salto C,0827-BK1-01-26,24.738,23.065,12.901,1.163,25.02,9.82,156.279,9.606
Fliffis C,0609-4-01-305,26.591,24.51,23.257,2.517,29.492,59.55,368.625,115.05
Bauchsprung,0609-1-01-768,23.636,20.642,14.156,1.182,19.358,11.487,67.377,17.382
Salto C,0110-MORITZ-01-46,27.012,24.314,13.816,1.115,26.097,18.377,169.992,14.768
Salto A,0827-BK2-01-110,24.767,23.003,9.525,1.671,25.432,11.634,43.477,14.533
Von Bauch in Stand,0609-1-01-625,23.195,23.006,16.629,1.068,17.018,15.075,66.914,23.431
1 3/4 Salto vw B,20191008-1207-FRANKFURT_2-01-313,26.407,21.444,18.435,6.903,19.794,78.195,214.248,80.724
Barani C,20190930-1616-FRANKFURT_1-01-57,23.602,21.406,9.761,2.576,25.296,31.151,218.415,78.444
Salto A,20190930-1247-FRANKFURT_2-01-89,22.77,20.498,7.491,1.225,24.843,9.182,42.056,17.15
Schraubensalto A,20191008-1207-FRANKFURT_2-01-217,23.547,20.703,3.71,4.49,26.113,111.217,158.661,129.608
Salto A,20191007-1150-FRANKFURT_2-01-131,20.681,18.546,7.167,1.266,23.507,19.159,54.339,20.573
Fliffis C,0609-4-01-263,26.138,23.876,22.113,2.157,29.098,87.791,346.322,111.385
Doppelsalto B,0115-CHARI-05-10,22.331,21.33,19.89,1.399,25.452,18.258,251.785,22.307
Salto C,0609-1-01-591,23.744,22.025,9.402,1.414,25.131,16.768,159.865,16.67
Doppelsalto B,0115-MORITZ-03-115,26.659,23.564,21.653,1.976,28.004,31.211,281.744,26.714
Salto B,20190930-1153-FRANKFURT_1-01-163,23.451,21.169,11.823,1.515,26.543,34.445,205.61,26.271
Salto A,0827-BK2-02-133,23.41,21.594,8.764,0.692,24.511,12.06,34.756,15.043
Bauchsprung,0609-1-01-105,25.044,22.067,15.728,1.401,19.421,13.169,60.808,21.044
Fliffis- Rudi B,0115-MORITZ-03-146,21.72,19.545,18.497,9.168,29.384,196.197,381.013,294.602
3/4 Salto vw A,20191007-1159-FRANKFURT_1-01-387,28.308,22.989,18.124,1.279,19.165,11.582,138.839,10.888
Doppelsalto C,0609-1-01-168,22.411,20.24,21.939,1.655,26.163,29.715,269.93,24.051
Von Bauch in Stand,0609-1-01-813,24.015,23.906,16.761,1.231,17.289,15.802,68.409,15.028
Doppelsalto C,20191008-1207-FRANKFURT_2-01-290,22.081,18.966,19.487,7.193,27.25,71.947,243.556,43.498
40/,20191001-1148-FRANKFURT_1-01-139,23.518,21.051,7.097,1.022,24.868,15.433,55.198,21.469
Doppelsalto B,0110-MORITZ-01-32,25.258,22.335,22.158,1.966,25.61,27.926,260.933,22.184
Salto A,20190930-1153-FRANKFURT_1-01-182,24.701,22.507,7.054,0.783,25.8,14.797,53.794,12.455
Doppelsalto B,0609-1-01-490,23.886,21.3,18.945,1.346,27.396,24.715,270.415,20.543
Salto C,20190930-1616-FRANKFURT_1-01-41,24.052,20.908,11.313,1.463,25.927,16.892,197.465,25.236
Fliffis B,0110-MORITZ-01-33,23.68,21.532,20.595,4.977,27.468,92.066,390.632,123.975
Salto B,0115-JANEIKE-01-115,24.626,22.185,13.499,1.709,25.18,29.637,187.941,25.869
Fliffis B,20191007-1150-FRANKFURT_2-01-196,19.246,17.843,18.621,4.755,25.221,89.086,413.514,176.756
3/4 Salto rw A,20191008-1207-FRANKFURT_2-01-114,26.067,22.71,15.412,6.26,21.436,13.014,63.812,33.145
Bauchsprung,0609-1-01-200,24.439,21.811,16.194,0.801,18.955,13.971,69.792,19.036
