Sprungtyp,SprungID,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
Bauchsprung,0609-1-01-96,24.581,21.942,16.171,0.83,18.86,9.452,67.8,10.466
Von Bauch in Stand,0609-1-01-184,25.118,25.203,17.648,1.508,17.745,16.145,62.353,21.951
Bauchsprung,0609-1-01-215,25.699,22.669,14.772,1.111,21.112,13.062,65.79,22.201
Salto A,0827-BK2-02-129,23.006,21.601,8.371,0.93,24.251,15.606,38.058,21.429
Fliffis B,0609-4-01-58,24.73,21.717,18.653,2.761,28.868,98.185,351.353,120.88
Salto C,0827-BK2-02-44,23.737,21.95,11.24,1.446,25.46,16.279,183.958,24.863
Barani C,20190930-1616-FRANKFURT_1-01-346,24.377,21.887,9.313,3.627,26.29,41.752,201.845,66.094
Bauchsprung,0609-1-01-801,24.342,21.355,15.023,1.264,19.602,14.441,68.53,23.301
Barani C,20191008-1157-FRANKFURT_1-01-221,22.763,21.511,8.336,4.463,25.432,50.229,241.256,142.215
3/4 Salto rw A,20190930-1247-FRANKFURT_2-01-127,26.769,23.755,15.721,1.467,22.608,17.501,53.995,26.265
Von Bauch in Stand,0609-1-01-853,23.48,23.585,15.999,3.299,17.305,14.662,74.223,13.558
Salto C,0609-4-01-78,22.495,20.995,14.251,1.037,20.886,10.098,61.248,17.484
Salto B,20191008-1207-FRANKFURT_2-01-263,25.337,21.795,11.242,1.674,27.565,25.066,220.361,23.421
Salto C,0609-4-01-289,26.241,22.581,16.591,1.28,23.611,11.4,157.289,11.374
Salto C,0609-4-01-397,25.671,22.445,16.358,1.528,23.09,12.043,153.125,15.34
Salto C,0609-4-01-350,25.557,22.386,16.178,1.672,23.188,15.343,154.8,18.192
Salto B,20191008-1207-FRANKFURT_2-01-306,24.748,21.732,13.751,6.987,24.435,42.048,221.441,44.743
Salto C,0609-1-01-521,24.385,22.607,11.053,1.059,25.739,21.765,190.87,20.449
Voll- ein- voll- aus B,0115-MORITZ-03-145,23.175,19.65,19.467,10.794,29.604,284.338,307.997,314.331
Fliffis aus B,0115-MORITZ-03-129,24.749,22.937,18.773,4.001,29.016,97.891,378.268,112.82
Barani C,0609-4-01-516,23.933,22.082,13.688,2.05,24.291,39.593,193.959,86.537
Barani B,20191007-1159-FRANKFURT_1-01-91,23.532,21.206,9.348,3.276,25.488,35.495,260.781,170.05
Schraubensalto C,0609-4-01-129,23.56,20.991,11.472,2.892,24.244,101.686,133.754,164.891
Barani A,20191007-1159-FRANKFURT_1-01-291,23.501,21.862,8.378,2.103,25.92,53.841,196.479,111.388
Salto A,20191007-1150-FRANKFURT_2-01-72,19.993,17.764,7.868,1.452,22.338,18.313,46.83,18.915
Barani C,20190930-1616-FRANKFURT_1-01-313,24.486,21.981,10.197,3.172,26.866,56.223,187.185,59.737
Schraubensalto A,20191007-1150-FRANKFURT_2-01-109,19.787,17.273,7.785,3.448,22.771,109.038,157.821,182.86
Fliffis C,0609-4-01-314,27.228,24.333,22.152,2.657,29.974,78.09,347.37,108.252
Voll- ein- Rudi- aus B,0115-MORITZ-03-38,22.806,20.364,18.657,14.172,31.636,287.884,337.901,321.91
Von Bauch in Stand,0609-1-01-728,24.174,24.389,16.292,1.655,18.052,19.637,68.969,22.682
Barani C,20190930-1616-FRANKFURT_1-01-42,23.604,21.907,8.84,2.77,25.296,44.546,183.69,55.806
Doppelsalto B,0609-1-01-495,23.316,20.935,18.277,1.811,26.607,46.591,271.437,32.611
Fliffis B,0609-4-01-423,25.351,22.352,18.645,2.907,28.547,84.113,354.232,138.892
Salto C,0609-4-01-297,21.247,19.892,14.306,1.107,19.538,9.252,53.464,11.638
Salto C,0609-4-01-318,26.114,22.465,16.65,1.288,23.153,15.776,140.876,16.714
Salto B,20191007-1150-FRANKFURT_2-01-107,20.443,18.123,9.895,1.426,24.374,19.734,190.551,24.239
Barani C,0609-4-01-526,23.956,21.869,12.465,1.742,24.973,40.425,197.065,88.378
Schraubensalto A,20191007-1150-FRANKFURT_2-01-71,19.542,17.104,7.491,4.259,22.78,89.804,183.153,177.147
Von Bauch in Stand,0609-1-01-755,24.693,24.524,14.838,1.396,19.49,16.845,70.801,15.586
Salto B,20190930-1616-FRANKFURT_1-01-13,23.536,20.937,11.483,0.93,25.546,16.244,200.456,13.375
Doppelsalto B,0609-1-01-595,23.682,20.9,18.65,2.012,27.882,44.586,278.29,21.067
Salto C,0609-1-01-369,23.796,21.831,11.347,1.467,25.366,18.688,197.253,19.083
Doppelsalto C,20190930-1616-FRANKFURT_1-01-326,23.999,20.535,21.108,3.711,29.026,39.952,240.344,35.404
Salto C,0110-MORITZ-01-139,26.75,24.179,13.798,1.0,25.936,14.668,167.443,14.246
Bauchsprung,0609-1-01-844,22.929,19.966,14.505,1.292,18.146,16.145,68.916,19.102
Von Bauch in Stand,0609-1-01-779,23.225,23.336,14.522,1.458,18.353,18.309,71.865,17.744
Salto A,20191008-1207-FRANKFURT_2-01-173,23.794,21.253,3.169,3.665,25.897,25.077,85.645,29.025
Salto C,0609-4-01-462,22.934,21.184,14.993,0.894,20.331,12.892,45.957,16.778
Doppelsalto C,20191008-1207-FRANKFURT_2-01-339,22.792,19.283,20.407,6.613,27.941,85.832,250.928,60.026
Fliffis B,20191008-1207-FRANKFURT_2-01-253,22.917,19.99,15.034,4.116,29.043,53.317,443.522,157.561
Fliffis B,20191007-1524-FRANKFURT_1-01-181,23.548,19.028,16.166,5.012,27.811,97.278,415.637,166.055
Barani C,0609-4-01-612,20.763,20.303,11.93,2.983,22.977,31.274,215.826,100.403
Von Bauch in Stand,0609-1-01-208,24.994,25.506,17.434,1.033,17.842,15.22,58.603,19.656
Salto C,20191008-1207-FRANKFURT_2-01-171,25.264,21.919,10.744,2.927,27.804,33.306,227.504,31.969
Fliffis C,0609-4-01-282,27.097,24.509,23.581,2.352,29.563,66.434,371.046,119.948
Schraubensalto A,20191008-1207-FRANKFURT_2-01-311,24.663,20.829,7.677,9.235,24.961,105.391,158.715,169.34
Baby- Fliffis C,20191007-1159-FRANKFURT_1-01-373,27.003,23.92,18.454,3.102,19.641,47.672,334.789,153.928
Barani A,20190930-1616-FRANKFURT_1-01-344,24.378,22.421,6.491,2.614,26.434,56.1,151.489,63.588
Fliffis B,20191007-1534-FRANKFURT_2-01-75,20.933,20.026,18.07,5.245,27.749,50.73,449.391,135.573
Salto A,20191008-1157-FRANKFURT_1-01-21,22.486,20.17,4.655,1.078,24.774,11.175,49.527,21.887
Doppelsalto B,0609-1-01-522,22.941,20.385,17.239,1.991,27.259,34.529,270.324,31.63
Barani C,0609-4-01-582,23.639,21.526,13.235,2.091,24.146,26.486,204.932,88.786
Salto B,20191008-1157-FRANKFURT_1-01-216,23.895,20.759,9.116,2.232,27.165,28.117,207.835,31.352
Salto A,0827-BK2-02-141,23.272,21.487,7.815,1.122,24.492,11.257,55.587,16.357
Salto A,20190930-1153-FRANKFURT_1-01-143,23.088,21.11,6.871,1.262,24.699,15.932,57.171,20.309
40/,20191001-1148-FRANKFURT_1-01-120,23.093,20.516,6.118,0.827,25.058,15.009,56.312,24.279
Schraubensalto,0110-JANEIKE-01-155,21.338,19.022,9.208,2.015,23.244,101.86,163.054,139.773
Barani A,20191008-1157-FRANKFURT_1-01-200,22.945,21.58,5.973,2.673,25.578,74.102,191.83,120.147
Doppelsalto B,0609-1-01-273,22.485,18.897,20.377,1.744,26.618,49.04,274.311,26.412
Salto C,0827-BK1-01-16,25.356,23.664,11.991,1.849,25.561,13.02,160.61,13.845
Salto B,20190930-1247-FRANKFURT_2-01-292,24.772,21.328,11.882,1.704,26.633,19.959,212.29,25.235
Barani A,20191007-1150-FRANKFURT_2-01-60,20.535,18.59,7.552,2.833,24.207,78.685,182.088,86.232
Salto A,0827-BK1-01-109,24.388,22.57,10.521,1.649,24.856,10.957,59.674,12.609
Schraubensalto A,20191007-1150-FRANKFURT_2-01-130,20.079,18.001,6.471,3.066,23.529,131.58,128.157,184.834
Salto B,20190930-1247-FRANKFURT_2-01-78,23.782,21.358,9.502,1.69,26.553,14.815,199.124,23.023
Doppelsalto B,20191007-1524-FRANKFURT_1-01-252,23.841,19.899,18.684,3.536,29.391,30.584,244.068,39.131
Barani C,20191003-1152-FRANKFURT_1-01-91,21.181,20.039,9.197,2.325,24.266,46.036,215.246,95.562
Doppelsalto B,0609-1-01-546,23.497,20.636,16.948,2.035,27.976,43.722,262.871,27.408
Doppelsalto C,0609-1-01-902,21.625,19.002,21.1,1.619,27.734,38.723,261.662,32.604
Doppelsalto C,20191008-1207-FRANKFURT_2-01-362,23.385,19.252,20.348,7.323,28.756,79.789,244.801,63.296
Doppelsalto B,0609-1-01-456,22.516,20.056,18.082,1.902,26.489,34.979,275.055,29.469
Salto B,20190930-1616-FRANKFURT_1-01-28,23.018,20.658,11.063,1.012,25.644,20.987,202.428,14.643
Barani C,20191003-1152-FRANKFURT_1-01-105,21.735,20.268,6.956,2.971,25.254,63.61,207.395,72.619
Doppelsalto B,0609-1-01-292,21.762,18.945,18.704,1.76,27.002,25.346,277.778,20.547
Barani A,20191003-1152-FRANKFURT_1-01-76,20.456,18.882,5.596,2.876,24.479,85.325,177.861,75.367
Barani A,20191007-1524-FRANKFURT_1-01-39,23.909,22.368,5.737,5.198,25.88,60.954,191.456,98.775
Salto C,0609-4-01-340,26.424,22.442,15.722,1.706,23.832,13.124,131.505,15.334
Schraubensalto A,20191007-1150-FRANKFURT_2-01-169,19.997,17.25,7.619,3.698,22.965,99.661,162.678,175.716
Fliffis B,0609-4-01-450,24.189,21.483,18.575,2.542,28.609,76.839,358.813,125.227
Rudi,20191008-1157-FRANKFURT_1-01-335,22.673,20.252,11.118,3.681,25.033,116.813,240.382,320.501
43/,20191001-1148-FRANKFURT_1-01-161,23.417,21.116,13.242,3.901,24.828,152.14,246.791,298.167
Salto C,0609-1-01-473,23.696,21.983,11.0,1.142,25.189,21.621,186.033,21.064
Salto B,20191008-1207-FRANKFURT_2-01-360,24.673,21.867,12.077,7.673,25.195,61.991,207.038,44.305
Fliffis C,20191008-1157-FRANKFURT_1-01-177,25.592,23.719,22.698,3.961,30.454,72.383,420.835,166.512
40/,20191001-1148-FRANKFURT_1-01-54,24.209,20.71,6.287,1.031,25.704,18.918,85.322,24.371
Schraubensalto C,0609-4-01-88,23.196,20.692,10.412,2.91,24.634,103.118,125.885,169.882
Doppelsalto B,0609-1-01-380,23.651,20.612,18.388,2.055,28.533,56.002,281.422,30.768
40/,20191001-1148-FRANKFURT_1-01-247,22.316,19.286,6.781,1.077,23.733,19.35,75.896,20.012
Fliffis- Rudi B,0115-CHARI-05-88,20.874,18.829,17.563,6.614,28.298,212.554,387.639,337.237
Rudi,20190930-1153-FRANKFURT_1-01-242,24.154,21.852,10.76,3.246,26.534,116.759,150.589,203.409
Barani A,20191008-1157-FRANKFURT_1-01-320,24.324,21.934,7.264,2.843,26.98,55.034,193.219,121.411
Voll- ein- Rudi- aus B,0110-MORITZ-01-14,22.075,19.052,18.418,13.183,29.912,300.907,350.737,330.95
Salto C,20190930-1153-FRANKFURT_1-01-87,24.565,22.113,10.482,1.416,26.88,28.204,182.033,26.336
Barani C,0609-4-01-558,22.958,20.536,13.562,2.058,23.251,42.238,203.813,95.199
Voll- ein- voll- aus B,0115-MORITZ-03-130,23.064,19.45,19.598,10.674,29.518,280.683,309.584,312.317
Doppelsalto B,0609-1-01-263,21.365,18.32,17.642,1.828,26.588,36.814,272.49,35.156
Doppelsalto C,0609-1-01-719,22.877,20.849,21.596,2.208,27.479,54.478,281.586,34.734
43/,20191001-1148-FRANKFURT_1-01-96,22.241,20.268,11.143,3.595,24.184,138.516,266.209,301.117
Fliffis B,20191007-1524-FRANKFURT_1-01-113,22.411,19.069,17.599,4.89,26.294,101.774,434.955,172.164
Fliffis B,0609-4-01-403,23.771,21.369,18.545,3.092,27.554,96.476,353.957,121.26
Salto B,20191008-1207-FRANKFURT_2-01-37,24.861,21.908,8.838,2.929,27.42,28.259,204.11,33.842
Schraubensalto A,20191007-1534-FRANKFURT_2-01-137,21.165,18.219,7.663,4.231,24.642,102.4,155.863,179.792
Salto B,0115-CHARI-05-39,23.497,21.848,10.265,1.847,26.179,18.39,195.077,23.991
Von Bauch in Stand,0609-1-01-787,23.37,23.763,15.053,1.432,17.952,16.513,70.847,18.788
Salto A,20191007-1159-FRANKFURT_1-01-292,23.534,20.161,5.704,1.266,25.167,12.245,61.481,20.279
Barani C,20191007-1159-FRANKFURT_1-01-346,23.894,21.656,9.43,2.645,26.216,34.549,243.475,147.569
Fliffis C,0609-1-01-22,25.943,24.275,24.572,4.546,28.897,139.547,367.668,110.061
Salto B,20190930-1616-FRANKFURT_1-01-29,23.481,20.875,10.532,1.007,26.141,19.058,188.488,12.842
1/2 ein 1/2 aus C,20190930-1616-FRANKFURT_1-01-97,24.958,21.283,21.679,7.657,29.423,219.226,344.073,131.907
Doppelsalto C,20191008-1207-FRANKFURT_2-01-254,22.837,19.19,18.43,2.745,28.926,24.023,246.693,36.488
Schraubensalto C,0609-4-01-107,23.827,21.34,11.628,2.487,24.784,99.486,130.519,170.18
Von Bauch in Stand,0609-1-01-216,25.307,25.655,16.848,0.883,18.73,8.957,63.059,13.521
Doppelsalto C,0115-MORITZ-03-132,25.881,22.818,24.923,2.636,27.052,25.598,247.367,30.377
Von Bauch in Stand,0609-1-01-691,24.196,24.028,16.272,0.96,17.962,10.975,67.593,15.309
Schraubensalto A,20191008-1157-FRANKFURT_1-01-159,22.406,19.878,7.483,4.071,24.358,61.736,176.534,199.849
Doppelsalto B,0609-1-01-584,23.775,20.952,17.606,1.718,28.481,40.696,293.007,27.336
Doppelsalto C,0609-1-01-646,21.853,19.821,22.821,1.696,26.05,24.498,264.69,29.949
Salto A,0827-BK1-01-105,24.135,22.437,9.793,2.15,24.907,10.482,55.837,14.728
Salto C,0609-4-01-366,26.103,22.599,15.253,1.644,24.137,16.732,158.785,15.64
Barani A,20191008-1157-FRANKFURT_1-01-158,23.843,21.805,7.1,2.561,26.404,54.455,202.966,125.897
Schraubensalto C,0609-4-01-239,22.879,20.401,10.907,3.052,24.248,113.733,127.266,166.057
Bauchsprung,0609-1-01-754,24.561,21.876,12.81,1.06,21.05,9.429,84.761,17.823
Schraubensalto C,0609-4-01-231,23.243,20.727,11.113,2.491,24.39,103.7,129.98,163.194
Baby- Fliffis C,20191001-1202-FRANKFURT_2-01-83,24.042,22.131,18.489,3.844,21.464,45.246,273.589,101.252
Barani A,20191001-1202-FRANKFURT_2-01-92,25.999,20.234,11.992,3.084,24.796,61.439,180.665,108.766
Fliffis C,0609-4-01-309,26.216,23.89,21.756,2.573,30.084,91.472,354.978,100.39
Cody C,20190930-1247-FRANKFURT_2-01-336,26.658,25.71,21.568,2.245,23.447,36.729,225.147,29.827
3/4 Salto rw A,20191007-1150-FRANKFURT_2-01-42,23.572,20.129,14.598,2.202,20.651,14.325,60.814,20.231
Barani B,20191007-1159-FRANKFURT_1-01-116,23.765,21.351,9.692,2.997,25.875,36.676,245.15,167.982
Baby- Fliffis C,20191008-1207-FRANKFURT_2-01-368,25.087,22.909,17.112,4.79,21.859,81.34,275.081,137.707
Fliffis B,20191007-1150-FRANKFURT_2-01-233,19.12,17.82,18.048,5.301,26.504,76.016,433.188,166.242
Salto B,20191007-1150-FRANKFURT_2-01-223,20.435,18.265,9.888,1.469,23.117,22.179,190.67,22.758
Von Bauch in Stand,0609-1-01-832,23.133,23.45,16.522,1.921,16.531,13.997,64.544,28.742
Schraubensalto C,0609-4-01-200,22.365,19.793,10.269,2.45,24.005,103.594,135.385,164.896
Salto C,0609-1-01-478,23.425,21.759,9.769,1.553,25.382,18.29,184.917,25.028
Salto C,0609-1-01-67,24.94,22.857,12.025,0.964,26.217,21.766,198.058,22.786
Baby- Fliffis C,20191008-1157-FRANKFURT_1-01-300,24.526,22.202,19.622,3.852,18.892,33.91,320.44,159.398
Salto B,20191007-1534-FRANKFURT_2-01-133,23.161,20.405,11.039,2.435,25.622,31.314,217.224,35.343
Barani C,20190930-1247-FRANKFURT_2-01-293,24.13,22.249,8.158,3.022,26.364,46.855,215.628,65.242
Salto C,0609-4-01-496,25.491,22.019,16.433,0.962,22.75,13.064,135.664,17.031
Bauchsprung,0609-1-01-760,24.351,21.285,15.191,0.825,19.304,15.865,73.478,13.203
3/4 Salto vw A,20191001-1148-FRANKFURT_1-01-125,27.116,22.415,17.244,0.619,18.818,9.524,125.027,17.711
Schraubensalto A,20191008-1157-FRANKFURT_1-01-141,22.471,19.674,7.236,4.129,25.139,59.073,180.045,205.629
Bauchsprung,0609-1-01-700,23.213,20.801,15.009,1.407,18.489,14.248,72.748,20.277
40<,20191001-1148-FRANKFURT_1-01-197,24.036,20.292,11.5,2.303,24.935,17.172,238.475,32.286
Bauchsprung,0609-1-01-644,23.854,21.218,14.453,1.967,19.538,9.666,87.231,37.915
Salto A,0827-BK2-02-143,22.871,21.121,7.451,1.681,24.392,14.808,50.992,19.995
43/,20191001-1148-FRANKFURT_1-01-111,24.528,22.275,9.242,2.959,24.886,35.831,209.69,150.863
Salto C,0827-BK2-01-4,24.968,22.883,11.305,1.286,25.982,14.217,173.995,15.864
Doppelsalto B,20190930-1616-FRANKFURT_1-01-201,24.609,20.988,19.862,3.248,29.949,31.447,274.098,30.169
Rudi,20191007-1150-FRANKFURT_2-01-142,19.497,17.136,14.716,5.233,23.045,120.287,210.09,295.589
Salto C,0609-1-01-449,23.42,21.857,11.333,1.049,24.923,19.066,194.566,17.961
Salto C,0609-1-01-317,22.98,21.52,8.996,1.333,25.243,18.309,175.259,20.036
Voll- ein- voll- aus B,0115-MORITZ-03-117,21.181,17.623,20.644,11.075,28.856,270.954,316.766,316.688
Schraubensalto,20190930-1153-FRANKFURT_1-01-241,24.167,21.497,8.363,1.928,25.947,102.889,143.627,114.158
Cody C,20191003-1152-FRANKFURT_1-01-15,26.049,25.351,23.266,2.009,23.229,25.039,227.143,18.305
Baby- Fliffis C,20191008-1157-FRANKFURT_1-01-245,26.02,23.12,17.562,2.894,18.891,35.633,301.208,149.847
Salto C,20190930-1616-FRANKFURT_1-01-328,25.023,22.31,10.864,2.755,26.452,15.092,193.905,27.105
Barani A,20190930-1616-FRANKFURT_1-01-183,22.655,22.496,9.307,2.369,24.334,70.095,133.914,56.022
Salto C,0609-1-01-77,24.274,22.37,10.838,1.169,25.872,21.804,175.354,19.698
Barani A,20191007-1159-FRANKFURT_1-01-323,23.796,21.802,7.022,2.125,26.312,55.609,196.546,114.764
Salto A,20191007-1159-FRANKFURT_1-01-324,23.191,20.359,5.173,0.684,25.111,19.175,57.569,21.602
Doppelsalto B,20191007-1524-FRANKFURT_1-01-141,24.581,20.491,18.735,3.823,29.805,30.884,255.238,26.448
Salto B,0827-BK2-01-73,24.466,22.49,12.501,1.643,25.817,16.037,206.959,20.224
Barani A,20191007-1159-FRANKFURT_1-01-230,22.532,20.953,9.222,3.292,25.106,48.81,218.735,152.377
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-165,24.221,17.243,19.122,9.602,30.976,190.144,428.539,408.727
Schraubensalto C,0609-4-01-126,23.094,20.473,10.942,2.752,24.604,110.04,125.7,168.217
Salto B,20190930-1153-FRANKFURT_1-01-106,23.111,21.499,10.506,1.621,26.303,29.32,220.563,26.232
Salto C,0609-4-01-449,25.703,22.24,15.125,1.77,23.698,17.791,122.85,18.344
Salto B,20191008-1207-FRANKFURT_2-01-240,25.748,22.291,11.996,2.1,27.686,34.253,236.733,23.701
Fliffis- Rudi B,0110-MORITZ-01-31,23.541,21.351,21.911,8.92,28.38,196.976,365.717,268.485
Bauchsprung,0609-1-01-624,23.59,21.516,15.798,0.817,18.016,13.425,64.602,15.82
Barani A,20191007-1534-FRANKFURT_2-01-136,21.16,19.785,5.612,3.181,25.451,66.316,191.486,116.74
Barani A,20191008-1207-FRANKFURT_2-01-98,24.304,22.17,7.241,5.024,25.597,74.9,180.615,87.412
Salto C,0609-4-01-376,25.593,22.025,16.933,1.325,22.619,11.185,146.116,14.414
Bauchsprung,0609-1-01-159,24.813,21.996,14.87,1.025,19.896,12.778,68.007,19.65
Salto A,20191001-1202-FRANKFURT_2-01-173,24.262,20.456,10.262,1.395,23.13,19.726,68.158,36.646
Salto A,20191001-1202-FRANKFURT_2-01-131,24.498,20.963,11.362,1.56,22.777,15.217,86.905,24.517
Doppelsalto B,0609-1-01-550,24.088,21.06,19.143,2.237,28.018,50.104,274.615,30.828
Salto A,20191008-1157-FRANKFURT_1-01-32,22.987,20.566,4.232,0.917,24.649,11.921,55.435,23.75
Fliffis C,20191003-1152-FRANKFURT_1-01-160,22.243,21.209,23.768,6.862,26.675,91.118,397.899,91.141
Voll- ein- halb- aus B,0115-MORITZ-03-133,22.049,19.794,18.751,11.042,29.702,255.365,361.361,255.847
Salto C,0609-1-01-416,23.385,21.831,10.129,1.428,25.119,19.506,188.572,23.997
Fliffis B,0609-4-01-346,24.2,21.579,18.694,3.554,27.859,97.45,349.707,115.033
Schraubensalto C,0609-4-01-203,22.894,20.422,10.836,2.996,24.142,109.289,126.467,167.468
Bauchsprung,0609-1-01-685,24.069,21.637,15.773,1.599,18.541,8.507,65.355,16.686
Doppelsalto C,20190930-1616-FRANKFURT_1-01-273,24.167,20.81,22.031,2.676,28.806,41.544,247.681,38.174
Salto C,0827-BK2-01-34,25.198,23.236,11.251,2.172,26.112,23.703,172.545,22.563
Fliffis aus C,0110-MORITZ-01-18,23.063,21.243,20.572,4.43,27.031,75.476,396.972,147.186
Fliffis Rudi C,20190930-1153-FRANKFURT_1-01-204,21.244,19.158,20.163,6.682,29.586,152.372,348.31,334.363
Schraubensalto,20190930-1247-FRANKFURT_2-01-268,23.715,21.3,6.107,3.43,25.666,84.451,154.244,152.407
Barani A,20191007-1534-FRANKFURT_2-01-36,21.216,20.174,5.858,6.54,24.409,62.159,191.362,98.056
Salto C,0609-1-01-568,23.983,22.196,10.468,1.255,25.545,23.559,189.31,18.485
Von Bauch in Stand,0609-1-01-723,24.604,25.127,16.241,1.348,18.432,10.873,51.329,15.14
Doppelsalto B,0609-1-01-577,23.086,20.089,18.119,2.365,27.949,46.569,277.542,26.22
Schraubensalto C,0609-4-01-237,22.727,20.568,9.456,2.484,24.698,112.053,122.959,158.461
Salto B,0827-BK1-01-65,25.127,23.233,14.934,1.469,24.924,23.83,165.947,27.115
Salto C,0609-4-01-486,22.277,20.243,13.996,0.722,20.789,9.412,70.388,15.249
Fliffis C,0609-1-01-60,26.602,24.228,23.66,4.784,30.936,160.915,371.918,124.613
Salto B,20190930-1153-FRANKFURT_1-01-78,23.921,21.675,11.561,1.446,26.931,31.719,222.935,30.017
Schraubensalto A,20191007-1159-FRANKFURT_1-01-293,21.744,20.349,11.975,4.643,23.787,142.163,229.245,273.132
Fliffis C,0609-4-01-267,26.607,24.035,21.984,2.605,29.43,85.712,346.917,106.937
1/2 ein 1/2 aus C,20190930-1616-FRANKFURT_1-01-114,24.798,21.863,18.697,7.907,30.055,201.213,344.456,154.402
Salto A,0827-BK2-01-102,24.97,23.133,9.857,1.559,25.544,18.491,60.997,15.344
Schraubensalto C,0609-4-01-97,23.491,20.968,9.695,2.539,25.272,115.215,129.298,145.341
Fliffis C,20191007-1150-FRANKFURT_2-01-235,21.612,19.789,24.218,5.109,28.374,78.455,393.192,162.383
Schraubensalto C,0609-4-01-177,23.434,21.0,11.23,2.569,24.316,105.893,123.529,167.835
Fliffis B,20191007-1534-FRANKFURT_2-01-65,19.548,19.825,18.828,4.336,25.255,46.21,424.449,135.685
Barani A,20191008-1157-FRANKFURT_1-01-333,23.475,21.844,7.629,3.031,25.603,74.8,180.793,117.721
Barani B,20191007-1159-FRANKFURT_1-01-151,23.435,21.648,9.866,2.904,25.939,36.123,252.782,172.729
Doppelsalto C,0609-1-01-746,22.825,20.463,22.541,1.892,27.502,36.121,274.103,28.69
Fliffis C,20191007-1159-FRANKFURT_1-01-431,24.769,22.867,21.649,3.726,30.134,42.057,438.386,189.619
Salto B,20190930-1153-FRANKFURT_1-01-141,23.305,21.083,11.503,2.013,26.518,26.742,211.796,29.129
Barani A,20191007-1534-FRANKFURT_2-01-54,20.69,19.508,7.341,4.227,24.347,68.892,189.899,102.981
Schraubensalto,20190930-1247-FRANKFURT_2-01-172,23.403,21.541,4.314,2.459,25.519,120.187,125.983,129.042
Bauchsprung,0609-1-01-831,23.45,20.825,15.554,1.341,17.879,11.931,59.675,18.589
Schraubensalto C,0609-4-01-229,22.87,20.377,11.317,2.585,24.059,110.748,128.001,163.574
3/4 Salto vw A,20191001-1148-FRANKFURT_1-01-144,27.438,22.638,16.89,0.824,19.768,7.283,120.784,16.516
Salto A,0827-BK2-01-118,24.378,22.559,8.471,1.222,25.675,13.217,53.542,13.576
Doppelsalto C,0609-1-01-714,23.188,21.215,23.239,1.722,27.371,26.54,288.404,24.153
Bauchsprung,0609-1-01-857,24.284,21.652,15.26,0.894,19.307,16.176,61.571,14.782
Bauchsprung,0609-1-01-225,25.055,22.12,16.087,0.709,19.467,9.475,69.171,21.943
Salto A,20190930-1247-FRANKFURT_2-01-269,24.765,21.844,6.193,2.564,26.342,22.161,38.906,24.167
Barani A,20191007-1159-FRANKFURT_1-01-263,23.606,21.513,5.978,1.925,26.5,60.973,206.587,112.245
Barani C,20190930-1616-FRANKFURT_1-01-43,24.648,22.068,9.026,2.925,26.369,32.736,202.519,70.465
Salto B,0827-BK2-01-59,24.982,23.02,13.309,1.463,26.18,16.912,204.73,26.406
Barani A,20191008-1207-FRANKFURT_2-01-88,24.47,22.374,6.031,4.26,26.095,84.88,171.569,61.165
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-111,23.009,17.777,21.877,9.854,29.181,207.659,421.409,389.057
3/4 Salto rw A,20191003-1152-FRANKFURT_1-01-14,24.611,20.224,13.608,1.528,21.652,15.461,76.099,27.198
1/2 ein 1/2 aus C,20190930-1616-FRANKFURT_1-01-149,24.153,21.339,20.522,8.657,29.051,189.878,354.803,166.082
1 3/4 Salto vw B,20191007-1534-FRANKFURT_2-01-107,25.863,20.268,16.211,2.253,24.995,36.19,249.561,55.974
Doppelsalto B,0609-1-01-209,20.068,17.152,17.587,1.486,25.115,36.278,257.917,38.416
Doppelsalto B,0115-CHARI-05-52,22.173,20.488,19.107,1.251,28.027,30.023,266.661,34.342
Fliffis B,20191007-1534-FRANKFURT_2-01-90,20.621,20.082,17.414,5.243,26.495,39.552,434.906,130.929
Salto C,20190930-1616-FRANKFURT_1-01-223,25.245,22.512,11.982,1.928,26.345,16.48,187.277,30.591
Von Bauch in Stand,0609-1-01-783,24.044,24.312,16.984,2.316,17.107,18.046,62.926,29.191
Salto B,20190930-1153-FRANKFURT_1-01-126,23.218,21.535,10.422,2.018,26.14,32.749,202.823,25.221
Salto A,20191001-1202-FRANKFURT_2-01-184,21.651,18.097,8.088,1.871,21.748,12.105,60.5,27.864
Fliffis B,0609-4-01-459,24.212,21.297,19.912,2.979,28.026,75.256,357.174,121.175
Salto C,0609-1-01-50,24.092,22.257,10.756,1.239,25.808,19.272,189.971,20.281
Fliffis B,0609-4-01-446,24.859,22.106,18.511,2.62,28.827,93.186,353.203,117.892
Salto C,20190930-1247-FRANKFURT_2-01-85,23.871,21.097,9.605,1.455,26.637,18.815,188.438,20.704
Von Bauch in Stand,0609-1-01-177,25.34,25.345,17.456,2.035,18.359,17.794,61.635,15.77
Barani A,20191007-1150-FRANKFURT_2-01-168,20.838,18.862,7.672,2.669,24.979,76.231,185.369,90.533
