Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp
8.96,25.653,242.403,-6.546,23.287,241.654,-7.014,20191007-1150-FRANKFURT_2-01-86,Salto A
8.928,18.3,222.722,-23.086,18.203,223.084,-21.74,20191007-1150-FRANKFURT_2-01-86,Salto A
8.864,0.918,209.727,-27.557,1.301,209.592,-26.076,20191007-1150-FRANKFURT_2-01-86,Salto A
8.542,-8.54,199.684,-5.565,-8.119,200.199,-6.854,20191007-1150-FRANKFURT_2-01-86,Salto A
9.19,-11.153,199.004,4.719,-13.087,199.666,6.585,20191007-1150-FRANKFURT_2-01-86,Salto A
9.812,-29.205,210.392,22.347,-27.556,212.94,18.809,20191007-1150-FRANKFURT_2-01-86,Salto A
10.109,-30.253,242.952,10.85,-28.164,239.146,10.099,20191007-1150-FRANKFURT_2-01-86,Salto A
9.602,-7.222,245.882,-14.689,-10.33,245.839,-14.083,20191007-1150-FRANKFURT_2-01-86,Salto A
7.222,-12.497,243.166,-23.89,-9.611,244.169,-21.451,20191007-1150-FRANKFURT_2-01-86,Salto A
9.343,6.648,235.824,16.001,12.391,244.207,23.657,20191007-1150-FRANKFURT_2-01-86,Salto A
51.646,86.163,259.521,135.23,74.413,234.939,113.888,20191007-1150-FRANKFURT_2-01-86,Salto A
74.438,8.877,187.224,29.738,9.094,193.537,34.249,20191003-1152-FRANKFURT_1-01-103,Salto A
31.847,12.91,238.719,-3.698,8.491,232.245,1.999,20191003-1152-FRANKFURT_1-01-103,Salto A
5.841,-15.02,179.343,32.101,-10.866,176.321,22.576,20191003-1152-FRANKFURT_1-01-103,Salto A
2.332,-2.552,79.412,-6.618,-3.805,84.336,-1.21,20191003-1152-FRANKFURT_1-01-103,Salto A
6.49,-12.242,48.805,-4.241,-11.136,53.093,-2.203,20191003-1152-FRANKFURT_1-01-103,Salto A
8.859,-2.257,99.161,2.279,-2.868,103.727,1.898,20191003-1152-FRANKFURT_1-01-103,Salto A
10.576,1.22,221.36,3.577,0.85,222.642,3.562,20191003-1152-FRANKFURT_1-01-103,Salto A
11.219,-6.313,360.005,8.478,-6.202,354.724,8.942,20191003-1152-FRANKFURT_1-01-103,Salto A
9.543,-11.686,420.955,12.345,-11.151,414.559,11.799,20191003-1152-FRANKFURT_1-01-103,Salto A
7.35,-10.383,371.633,5.713,-11.574,367.191,4.224,20191003-1152-FRANKFURT_1-01-103,Salto A
6.657,-14.58,265.361,-6.213,-12.858,267.624,-5.023,20191003-1152-FRANKFURT_1-01-103,Salto A
7.077,-0.784,188.066,-4.168,-1.34,191.428,-4.714,20191003-1152-FRANKFURT_1-01-103,Salto A
7.35,-6.753,155.375,-13.506,-6.185,155.851,-12.773,20191003-1152-FRANKFURT_1-01-103,Salto A
7.883,-7.174,136.463,-14.677,-7.569,139.189,-13.691,20191003-1152-FRANKFURT_1-01-103,Salto A
7.068,-0.395,146.396,-0.473,-1.578,147.318,-4.743,20191003-1152-FRANKFURT_1-01-103,Salto A
9.333,-8.052,168.208,-30.424,-8.875,171.726,-22.63,20191003-1152-FRANKFURT_1-01-103,Salto A
10.263,-26.343,237.844,20.273,-24.875,234.849,16.887,20191003-1152-FRANKFURT_1-01-103,Salto A
7.286,-27.209,273.656,15.239,-28.445,276.238,13.022,20191003-1152-FRANKFURT_1-01-103,Salto A
11.66,-38.701,336.144,-8.958,-34.189,319.288,-11.338,20191003-1152-FRANKFURT_1-01-103,Salto A
62.019,-28.071,210.06,-22.118,-29.039,220.439,-22.165,20191003-1152-FRANKFURT_1-01-103,Salto A
91.575,15.411,183.678,-2.121,19.074,203.417,-1.388,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
56.169,17.565,231.749,58.168,17.577,229.116,62.166,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
7.808,37.03,206.02,145.257,40.419,201.626,141.541,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
3.898,90.096,113.891,189.524,87.12,119.39,188.884,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
3.825,105.227,120.72,227.031,107.317,117.729,226.567,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
3.978,161.567,89.322,243.08,159.837,86.103,241.158,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
3.833,170.84,0.764,243.013,170.253,0.926,247.495,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
6.154,158.048,-103.663,304.837,156.1,-103.66,302.782,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
7.988,118.378,-201.133,326.386,116.319,-197.275,324.055,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
9.934,33.053,-224.693,314.605,33.003,-222.931,316.936,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
