SprungID,Sprungtyp,avg_Acc_N_Fil,avg_Gyro_x_R,avg_Gyro_y_R,avg_Gyro_z_R,avg_Gyro_x_Fil,avg_Gyro_y_Fil,avg_Gyro_z_Fil
20191007-1159-FRANKFURT_1-01-431,Fliffis C,34.945,37.567,-250.213,111.546,37.26,-250.166,111.877
0827-BK1-01-59,Salto B,16.898,-0.139,175.852,11.993,-0.278,175.609,11.944
0609-1-01-615,Doppelsalto B,28.001,-9.192,392.021,-20.631,-9.168,390.966,-20.105
0115-MORITZ-03-41,Doppelsalto B,29.313,-30.398,351.715,4.045,-30.178,351.943,4.379
0609-4-01-428,Fliffis B,29.011,-57.698,-112.903,120.372,-57.438,-112.508,120.332
20191008-1157-FRANKFURT_1-01-282,Baby- Fliffis C,23.779,-32.344,-52.216,110.857,-32.349,-53.689,110.765
0609-4-01-319,Fliffis C,29.922,-62.646,-107.045,120.141,-62.48,-106.998,120.031
20191007-1159-FRANKFURT_1-01-203,Strecksprung,10.14,1.466,0.013,6.987,1.622,-0.458,6.804
20191008-1207-FRANKFURT_2-01-37,Salto B,17.663,22.225,200.813,-4.769,22.315,200.355,-4.955
20191007-1159-FRANKFURT_1-01-349,Baby- Fliffis C,21.429,-14.114,-51.358,104.312,-13.86,-51.257,104.015
0609-1-01-404,Salto C,16.767,15.972,191.979,-10.811,15.944,192.273,-10.878
0609-4-01-371,Salto C,16.341,2.33,177.224,1.641,2.324,176.287,1.631
20190930-1247-FRANKFURT_2-01-130,Salto B,17.023,8.736,193.976,-1.283,8.425,193.312,-1.009
0827-BK2-01-120,Salto A,14.937,5.285,174.207,-13.306,5.275,173.78,-13.353
20190930-1247-FRANKFURT_2-01-340,Schraubensalto,15.161,39.196,108.14,196.196,39.52,107.823,196.107
20190930-1616-FRANKFURT_1-01-361,Barani C,16.276,-65.532,-46.811,110.51,-65.645,-46.752,110.479
20190930-1153-FRANKFURT_1-01-237,Cody C,21.324,25.736,208.403,10.689,25.664,209.522,10.31
