SprungID,Sprungtyp,std_Acc_N_Fil,std_Gyro_x_R,std_Gyro_y_R,std_Gyro_z_R,std_Gyro_x_Fil,std_Gyro_y_Fil,std_Gyro_z_Fil
0609-1-01-783,Bauchsprung,24.015,13.35,98.469,28.856,8.912,91.716,19.704
0609-4-01-606,Barani C,22.272,38.002,211.875,103.422,34.994,207.708,100.206
0115-JANEIKE-01-126,Strecksprung,26.059,12.798,60.894,21.442,10.344,57.666,16.336
20191008-1157-FRANKFURT_1-01-183,Strecksprung,23.492,16.144,49.291,26.281,13.091,42.099,19.055
0609-4-01-534,Barani C,23.574,44.546,195.387,89.281,42.982,190.909,83.765
0609-1-01-20,Salto C,22.39,26.95,206.717,29.117,24.678,199.396,17.823
0827-BK2-02-140,Strecksprung,24.859,14.62,62.568,16.788,13.351,58.369,13.879
0609-4-01-377,Fliffis B,24.558,103.518,369.865,135.765,100.527,358.66,131.857
20191007-1159-FRANKFURT_1-01-36,Salto C,25.786,39.117,223.846,46.217,35.104,210.932,35.069
20191007-1524-FRANKFURT_1-01-201,Strecksprung,23.083,13.37,89.912,29.168,9.838,85.01,23.251
0609-4-01-351,Fliffis B,21.16,90.217,369.473,135.434,88.106,355.639,131.024
20191008-1157-FRANKFURT_1-01-289,Strecksprung,24.103,11.009,90.491,22.997,8.244,88.11,18.335
20191007-1524-FRANKFURT_1-01-277,Doppelsalto B,22.383,51.467,275.761,73.698,43.91,254.35,42.104
20191007-1534-FRANKFURT_2-01-38,Barani A,19.146,65.585,177.445,94.651,64.495,173.898,91.816
0609-1-01-574,Doppelsalto B,19.509,50.01,288.311,40.369,46.799,277.275,26.447
20191001-1202-FRANKFURT_2-01-24,3/4 Salto rw A,20.979,21.641,72.808,56.739,15.311,59.062,36.714
0609-1-01-799,Von Bauch in Stand,22.5,14.661,58.341,30.54,10.848,51.32,20.99
20191007-1534-FRANKFURT_2-01-108,Baby- Fliffis C,17.229,49.184,337.027,131.117,44.777,289.012,125.731
