SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil
20190930-1247-FRANKFURT_2-01-119,Strecksprung,30.196,-11.821,82.738,21.077,-11.137,82.979,22.005,0.989,-5.878,-28.124,26.08,-5.946,-27.764,25.687,0.988,-5.048,-43.331,-15.02,-4.964,-43.331,-14.652,1.272,-2.199,-50.849,-12.458,-2.177,-51.03,-12.631,26.98,0.432,65.05,-5.558,0.261,64.767,-5.144
20191007-1150-FRANKFURT_2-01-106,Grätschwinkel,32.821,5.018,-16.799,5.338,5.559,-21.917,5.178,9.433,-1.712,-140.147,15.769,-2.059,-136.243,15.451,6.911,8.968,100.553,5.537,9.39,98.76,5.784,1.693,-3.65,29.546,1.486,-3.539,29.725,1.69,19.464,3.561,45.776,-14.66,2.537,47.224,-13.747
0827-BK1-01-123,Salto A,30.426,-3.984,150.142,-2.042,-4.913,151.398,-2.035,6.753,4.015,198.135,11.085,4.439,196.262,10.944,6.652,3.906,215.023,-12.015,3.723,215.581,-12.114,5.725,11.288,188.745,-0.104,11.171,188.356,-0.497,21.568,6.65,157.442,-1.911,6.313,156.373,-0.317
20190930-1153-FRANKFURT_1-01-165,Salto A,30.925,11.519,197.807,6.155,11.347,197.868,6.228,7.048,42.185,193.095,1.399,41.735,193.039,1.363,6.169,30.925,219.367,-12.503,31.133,219.413,-12.353,6.111,8.882,145.729,5.341,9.101,145.808,5.427,23.586,29.804,176.452,-5.7,29.12,177.356,-5.63
20191007-1534-FRANKFURT_2-01-140,1 3/4 Salto vw B,44.267,1.583,-518.516,71.618,1.196,-513.014,70.499,24.225,-46.932,-588.018,106.088,-46.264,-586.744,105.025,10.984,-40.761,-120.786,32.532,-40.542,-124.036,31.722,16.675,4.948,-344.45,0.916,4.854,-342.512,2.577,35.856,-43.951,-388.894,33.554,-43.917,-389.066,32.951
20190930-1247-FRANKFURT_2-01-44,Salto B,30.527,4.696,114.826,9.964,3.879,117.565,9.332,8.241,6.967,152.944,-4.481,6.629,152.958,-4.675,10.328,-0.587,296.268,-10.927,-0.599,295.315,-10.562,7.661,-4.793,241.485,0.409,-4.759,241.901,0.255,20.958,-8.09,260.79,3.507,-6.969,259.786,4.025
20191008-1157-FRANKFURT_1-01-141,Schraubensalto A,22.245,84.708,194.373,201.949,83.757,192.058,200.378,8.304,128.822,-97.664,328.591,127.169,-97.712,329.689,13.717,-23.965,-18.45,503.622,-21.223,-18.438,499.285,8.46,20.624,214.191,58.102,19.336,215.437,62.381,34.449,18.623,280.9,-46.663,20.491,280.212,-45.6
20191007-1524-FRANKFURT_1-01-163,Fliffis- Rudi B,56.644,-12.153,-536.522,31.614,-11.12,-534.496,31.729,41.114,-23.163,-672.105,63.73,-22.758,-667.513,68.768,29.959,206.977,-105.409,729.514,206.536,-115.068,723.222,31.117,81.404,-167.419,722.429,82.946,-160.258,723.021,35.588,88.513,388.953,97.435,85.176,387.882,100.064
0609-1-01-113,Doppelsalto C,30.463,20.593,139.692,-24.584,21.057,140.778,-24.572,40.351,9.401,581.991,5.183,9.343,580.036,5.589,46.733,67.757,773.216,1.771,66.887,771.157,1.852,10.854,35.767,232.044,-8.506,36.287,234.761,-8.85,21.409,13.419,261.277,-17.058,13.062,257.018,-17.164
20190930-1153-FRANKFURT_1-01-86,Strecksprung,28.845,2.014,87.486,5.781,1.404,86.506,5.672,0.965,1.515,-17.866,13.814,1.757,-16.931,13.645,1.116,-3.977,-21.896,15.961,-3.925,-21.856,15.766,0.942,-3.241,-11.337,8.851,-3.184,-11.695,8.961,21.838,5.827,37.436,-2.951,5.343,37.782,-3.426
