Sprungtyp,SprungID,avg_ACC_N,std_ACC_N,avg_ACC_N_ROT_filtered,std_ACC_N_ROT_filtered,avg_Acc_x_Fil,std_Acc_x_Fil,avg_Acc_y_Fil,std_Acc_y_Fil,avg_Acc_z_Fil,std_Acc_z_Fil,avg_Gyro_x_Fil,std_Gyro_x_Fil,avg_Gyro_y_Fil,std_Gyro_y_Fil,avg_Gyro_z_Fil,std_Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
Schraubensalto C,0609-4-01-126,17.622,23.094,17.461,20.473,-2.712,10.942,-0.984,2.752,5.848,24.604,38.319,110.04,99.925,125.7,212.308,168.217,72.199,188.564,399.4,160.862,279.484,401.312
Salto B,20190930-1153-FRANKFURT_1-01-106,19.469,23.111,19.66,21.499,-3.836,10.506,-0.099,1.621,3.459,26.303,20.093,29.32,190.077,220.563,11.502,26.232,38.285,359.429,16.379,56.624,418.864,46.079
Salto C,0609-4-01-449,15.988,25.703,15.733,22.24,1.241,15.125,-0.203,1.77,4.864,23.698,-4.834,17.791,180.515,122.85,4.022,18.344,-9.817,365.976,2.234,32.476,380.982,31.031
Salto B,20191008-1207-FRANKFURT_2-01-240,20.264,25.748,20.166,22.291,-3.885,11.996,0.255,2.1,4.218,27.686,17.461,34.253,194.936,236.733,-10.07,23.701,30.372,344.545,-17.818,51.261,406.912,50.742
Fliffis- Rudi B,0110-MORITZ-01-31,35.527,23.541,35.79,21.351,-16.489,21.911,-1.103,8.92,1.121,28.38,-90.302,196.976,-125.066,365.717,-252.124,268.485,-179.689,-250.617,-502.458,311.699,624.163,550.026
Bauchsprung,0609-1-01-624,11.787,23.59,11.207,21.516,5.404,15.798,-0.366,0.817,6.523,18.016,-5.011,13.425,-23.12,64.602,-2.478,15.82,-9.057,-41.704,-5.447,18.078,115.083,34.256
Barani A,20191007-1534-FRANKFURT_2-01-136,18.348,21.16,18.591,19.785,-3.144,5.612,-0.17,3.181,3.113,25.451,-59.999,66.316,37.623,191.486,116.365,116.74,-97.353,57.084,182.901,102.174,286.058,206.997
Barani A,20191008-1207-FRANKFURT_2-01-98,17.728,24.304,18.142,22.17,-1.385,7.241,0.681,5.024,3.196,25.597,-75.276,74.9,25.274,180.615,112.405,87.412,-126.129,39.051,191.069,152.284,274.05,218.923
Salto C,0609-4-01-376,16.307,25.593,15.999,22.025,1.658,16.933,-0.556,1.325,4.549,22.619,-2.767,11.185,179.656,146.116,1.5,14.414,-4.689,364.857,-4.029,22.922,384.372,30.265
Bauchsprung,0609-1-01-159,11.367,24.813,10.72,21.996,4.589,14.87,-0.406,1.025,7.149,19.896,-3.582,12.778,-20.01,68.007,-4.634,19.65,-6.819,-36.702,-9.679,17.31,119.57,37.174
