Sprungtyp,SprungID,avg_ACC_N,std_ACC_N,avg_ACC_N_ROT_filtered,std_ACC_N_ROT_filtered,avg_Acc_x_Fil,std_Acc_x_Fil,avg_Acc_y_Fil,std_Acc_y_Fil,avg_Acc_z_Fil,std_Acc_z_Fil,avg_Gyro_x_Fil,std_Gyro_x_Fil,avg_Gyro_y_Fil,std_Gyro_y_Fil,avg_Gyro_z_Fil,std_Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
Voll- ein- Rudi- aus B,0115-MORITZ-03-83,40.61,23.105,41.043,20.758,-18.928,18.873,-0.513,13.805,-0.343,31.996,-214.445,312.494,-65.261,326.943,-404.677,313.455,-427.349,-131.675,-806.594,570.011,584.441,828.6
Fliffis- Rudi B,20191007-1524-FRANKFURT_1-01-276,38.972,22.068,39.172,18.646,-23.079,17.319,1.304,8.444,1.75,28.787,116.384,227.457,-226.719,426.676,330.023,339.521,194.498,-380.052,550.684,297.271,732.893,592.179
Fliffis C,0609-4-01-290,32.791,27.068,33.092,24.485,-13.001,23.561,0.061,2.617,-2.266,29.408,-46.298,64.927,-137.012,362.279,125.536,121.4,-92.238,-278.144,244.564,113.284,621.557,269.139
Von Bauch in Stand,0609-1-01-255,12.812,25.351,13.246,25.452,6.322,17.003,0.409,2.114,6.485,18.576,1.394,13.308,20.807,57.741,5.441,14.545,2.603,36.898,10.17,23.12,81.758,33.361
Barani A,20191007-1534-FRANKFURT_2-01-103,17.478,20.803,18.014,19.969,-2.214,7.254,0.155,4.059,2.517,23.929,-60.451,70.766,36.287,191.605,121.345,104.073,-97.634,57.518,196.552,103.513,279.086,213.745
Salto A,0827-BK2-01-122,14.927,24.594,14.558,22.746,0.43,9.103,0.166,1.276,5.563,25.439,2.558,16.032,169.691,51.321,-15.395,15.738,5.16,332.612,-30.349,29.181,332.612,40.992
Salto C,20191001-1202-FRANKFURT_2-01-81,19.395,24.355,19.188,20.339,1.324,12.205,-1.243,1.27,3.191,24.146,-20.728,30.466,-212.656,199.411,-4.87,23.018,-33.674,-349.23,-12.374,53.236,376.022,47.773
Salto C,0609-4-01-335,16.353,26.391,15.972,22.574,0.996,14.342,-0.173,1.659,5.213,25.03,2.246,12.667,176.312,143.62,0.843,13.362,5.712,361.613,-5.222,28.17,390.25,28.745
Fliffis C,0609-4-01-286,31.283,26.561,31.522,23.81,-10.996,22.446,-0.333,2.304,-3.0,29.282,-65.63,89.451,-102.013,351.22,117.104,109.776,-131.067,-207.877,227.787,151.002,592.556,246.718
Salto B,20191003-1152-FRANKFURT_1-01-45,20.322,21.133,20.232,18.65,-4.503,11.024,-0.025,2.17,3.188,24.89,-12.43,14.68,209.192,229.282,5.751,21.911,-19.815,342.584,3.113,30.639,404.534,38.407
Doppelsalto B,20190930-1616-FRANKFURT_1-01-241,33.152,24.356,32.995,20.795,-15.239,19.49,0.032,2.408,-0.755,30.254,7.133,25.712,382.197,269.635,-11.414,26.599,12.45,701.677,-26.069,46.755,745.732,63.306
Doppelsalto B,0609-1-01-311,29.356,19.456,29.557,17.964,-14.113,17.911,-0.165,1.558,0.366,24.583,14.641,37.814,390.349,266.868,-9.511,31.251,26.1,693.559,-16.854,66.842,731.097,64.13
Salto B,0115-CHARI-05-9,18.188,23.806,18.089,22.087,-2.431,10.188,0.889,1.678,5.223,26.117,-4.25,15.533,177.036,184.673,-13.248,23.445,-8.275,342.075,-25.704,28.165,410.514,47.629
Fliffis C,20191007-1150-FRANKFURT_2-01-198,40.549,21.441,40.943,20.142,-22.076,23.831,2.702,4.811,-4.019,29.913,-64.434,54.826,-241.322,394.695,129.264,156.3,-106.493,-400.36,208.564,127.986,669.965,224.803
Salto C,0609-4-01-41,16.927,26.623,16.575,22.958,1.203,16.56,-0.505,1.157,5.176,24.285,0.489,15.445,177.355,161.141,-1.908,17.904,1.037,374.46,-4.095,31.248,400.563,34.229
3/4 Salto vw A,20191007-1159-FRANKFURT_1-01-372,14.52,27.219,14.38,23.183,-5.234,17.33,-0.829,0.87,4.423,19.321,3.989,13.037,-159.027,122.816,12.438,13.793,7.84,-277.763,16.335,19.734,298.028,33.924
Baby- Fliffis C,20191008-1207-FRANKFURT_2-01-147,23.632,25.085,24.168,22.816,-11.173,17.575,-1.543,3.148,-1.711,22.366,-48.745,78.509,-16.752,270.912,130.075,112.721,-79.048,-29.757,209.926,100.877,370.959,254.593
Barani B,20191007-1159-FRANKFURT_1-01-126,19.449,21.825,19.361,19.329,-4.306,8.448,-0.988,3.609,5.537,25.025,18.193,32.308,-17.747,272.339,117.697,152.037,27.94,-27.653,181.399,49.997,346.837,207.219
Schraubensalto,20190930-1153-FRANKFURT_1-01-166,16.146,22.843,16.168,20.88,-1.346,9.116,-1.52,2.396,4.328,24.408,34.333,100.52,42.336,151.494,213.901,117.096,65.717,82.06,397.443,171.471,260.675,415.309
Salto A,20191007-1150-FRANKFURT_2-01-225,16.011,20.948,15.708,17.874,-0.187,7.459,0.019,0.97,3.662,23.483,22.351,19.883,214.984,48.658,6.346,21.038,36.819,355.424,6.142,38.857,355.887,37.025
Salto C,0609-4-01-258,16.096,25.289,15.793,21.841,1.785,16.179,-0.067,1.406,4.432,22.797,2.03,12.099,179.439,131.162,5.245,15.174,3.744,363.84,5.157,23.913,383.2,29.919
Von Bauch in Stand,0609-1-01-701,12.932,23.737,13.374,24.042,7.202,17.803,0.009,1.308,5.995,16.328,1.839,13.079,21.023,60.029,3.516,25.636,2.959,34.157,5.36,19.13,73.754,40.307
Bauchsprung,0609-1-01-852,11.864,23.229,11.254,20.642,4.666,14.978,0.463,2.995,6.89,18.232,-1.551,18.308,-22.934,72.736,-9.094,31.063,-2.984,-40.66,-16.867,30.798,116.367,44.529
Fliffis aus B,20191001-1148-FRANKFURT_1-01-244,34.984,21.567,35.134,18.727,-18.973,17.129,-3.755,7.871,3.455,27.923,146.095,133.362,-235.888,441.719,64.23,211.552,240.037,-389.144,99.554,256.628,768.477,254.759
1 3/4 Salto vw B,20191008-1207-FRANKFURT_2-01-367,28.977,29.139,28.791,22.215,-16.247,19.559,2.481,7.617,-2.026,21.3,-64.847,72.148,-342.086,231.229,94.728,87.341,-112.837,-593.488,166.375,150.96,640.64,198.27
Fliffis aus C,20191001-1148-FRANKFURT_1-01-72,36.92,24.5,37.287,22.576,-20.17,22.264,-1.369,4.184,-0.511,29.298,15.681,32.205,-217.483,444.578,103.026,170.915,25.143,-355.448,163.975,55.764,705.365,222.39
Doppelsalto B,20191007-1524-FRANKFURT_1-01-178,34.099,24.383,34.051,20.734,-16.951,17.83,1.208,3.265,-4.74,31.354,43.72,26.651,411.589,255.588,-27.689,33.42,71.644,687.675,-46.233,75.414,693.739,71.338
Von Bauch in Stand,0609-1-01-792,12.345,23.767,12.867,24.127,6.1,16.156,0.29,1.289,6.873,17.739,5.632,16.59,27.933,51.459,4.598,37.893,9.642,45.199,8.036,28.074,76.027,60.245
Barani A,20191008-1157-FRANKFURT_1-01-88,17.733,23.517,17.94,21.77,-2.244,5.987,-0.585,2.233,4.484,26.73,-65.601,64.321,35.145,193.727,110.236,100.297,-109.739,56.964,182.764,116.269,291.135,192.782
3/4 Salto rw A,20191001-1202-FRANKFURT_2-01-25,14.015,24.268,13.724,20.633,-4.777,16.548,-1.284,3.111,2.823,18.254,-3.793,15.559,-171.915,62.416,-13.813,36.681,-6.597,-307.212,-29.555,26.43,316.827,51.061
Salto A,20191001-1202-FRANKFURT_2-01-199,18.049,26.564,17.645,21.118,-0.376,11.259,-1.03,1.424,3.9,23.693,-15.028,14.941,-212.328,63.628,-9.825,24.077,-25.378,-351.73,-19.067,35.117,360.292,56.792
Salto A,0827-BK2-02-131,15.152,23.198,14.694,21.454,0.497,8.59,0.31,1.43,5.137,24.428,0.486,20.423,182.397,39.764,-37.663,25.58,1.142,334.809,-69.822,33.642,334.809,78.062
Salto B,20191008-1207-FRANKFURT_2-01-337,19.838,23.883,19.898,21.013,-4.346,10.592,2.251,7.708,3.299,25.273,18.995,47.977,202.519,221.272,-32.291,40.364,31.664,336.83,-55.112,71.297,409.929,86.385
Fliffis- Rudi B,20191007-1524-FRANKFURT_1-01-140,38.072,20.777,38.766,18.165,-23.614,16.647,1.319,8.368,0.53,27.331,112.667,199.761,-216.115,425.047,347.067,353.724,188.527,-363.249,577.132,278.92,721.085,615.87
Barani B,20191007-1159-FRANKFURT_1-01-130,19.454,21.839,19.567,19.897,-4.191,9.534,-0.182,3.663,5.576,24.868,-10.452,35.359,-46.787,266.836,126.706,131.654,-16.119,-72.857,195.952,51.075,335.611,215.29
Salto B,0827-BK1-01-71,17.258,24.805,17.048,22.769,-1.05,12.2,-0.67,1.91,4.812,25.491,-3.075,16.528,177.772,168.815,4.776,19.957,-6.226,356.481,9.528,27.619,407.852,35.647
Bauchsprung,0609-1-01-895,12.067,24.126,11.396,21.296,5.192,15.688,0.227,1.968,7.068,18.851,-3.469,13.295,-24.057,63.771,-6.351,18.641,-6.266,-42.998,-11.475,22.911,107.768,33.53
1/2 ein 1/2 aus C,0110-MORITZ-01-15,30.799,25.362,30.441,21.386,-11.031,20.428,3.479,8.049,-1.69,29.044,-143.824,230.217,-41.047,326.775,-122.341,186.412,-279.467,-78.075,-238.133,385.261,525.636,363.643
Doppelsalto B,0609-1-01-327,28.814,23.069,28.607,20.341,-11.959,18.795,-0.436,2.0,-0.525,27.036,1.969,43.018,368.67,275.018,-9.014,31.848,3.338,689.874,-16.746,68.023,723.249,68.513
Doppelsalto B,0115-CHARI-05-31,28.84,21.809,29.101,20.652,-13.279,18.724,1.469,1.566,-0.259,25.99,-1.131,26.178,363.325,269.456,-10.409,20.054,-2.14,677.148,-19.317,39.541,698.809,40.353
Salto C,0609-4-01-313,16.25,26.156,15.932,22.529,1.411,15.602,-0.114,1.122,4.911,23.991,5.994,17.161,176.54,136.281,9.699,12.137,12.076,361.832,14.727,32.132,395.038,30.339
Von Bauch in Stand,0609-1-01-827,12.804,23.47,13.269,23.617,5.973,15.274,-0.104,1.218,6.655,18.082,-0.86,16.206,24.948,78.106,2.542,23.418,-1.62,41.038,4.57,26.423,98.924,45.502
Barani C,20190930-1616-FRANKFURT_1-01-327,17.066,23.836,17.399,22.361,-1.303,9.23,0.482,3.151,4.473,25.487,-60.585,42.699,-32.789,186.41,114.274,55.45,-108.852,-59.816,202.696,118.42,283.894,204.26
Schraubensalto C,0609-4-01-192,16.663,22.82,16.696,20.862,-1.606,11.534,-0.576,2.485,5.062,23.804,33.247,104.584,78.381,134.535,208.717,144.544,62.642,144.807,387.816,165.849,272.731,389.571
Barani A,20191007-1534-FRANKFURT_2-01-117,17.634,21.486,18.061,20.449,-1.711,7.456,-0.198,3.237,2.921,24.711,-66.707,72.893,24.585,183.249,114.138,93.23,-110.096,42.034,181.531,115.763,271.371,190.972
Salto C,0827-BK1-01-7,17.365,25.523,17.217,23.573,-0.966,11.401,-0.57,1.559,5.342,25.976,-2.485,10.96,175.493,160.447,3.462,13.615,-4.717,358.254,7.186,20.537,384.911,27.238
Doppelsalto C,0609-1-01-798,32.203,23.199,31.854,21.03,-15.162,22.162,-0.542,1.398,-3.742,27.066,4.032,25.69,400.92,269.533,-6.105,22.207,7.01,706.889,-10.717,41.825,710.073,47.503
1 3/4 Salto vw B,20191008-1207-FRANKFURT_2-01-344,28.17,27.971,27.887,21.587,-16.57,18.472,1.943,6.375,-0.473,22.322,-55.536,60.565,-348.597,230.506,77.115,75.227,-98.764,-615.607,137.432,121.215,669.92,178.171
Bauchsprung,0609-1-01-303,12.298,24.601,11.85,21.882,4.472,15.032,-0.16,0.999,7.295,19.956,-2.596,19.331,-19.861,80.904,-4.031,19.189,-5.371,-37.264,-8.318,31.345,126.932,39.42
Schraubensalto A,20191007-1159-FRANKFURT_1-01-325,23.736,22.678,23.868,20.485,-9.115,11.387,0.287,4.79,7.587,25.781,113.806,125.081,53.312,237.253,327.404,325.287,187.056,87.863,528.314,190.034,351.348,576.49
Baby- Fliffis C,20191008-1207-FRANKFURT_2-01-345,27.043,26.55,27.875,24.108,-12.943,17.993,0.523,4.99,-2.69,23.351,-26.068,87.489,-3.337,272.059,144.215,151.413,-40.386,-4.311,226.118,125.043,385.777,293.018
Salto B,0115-JANEIKE-01-14,17.383,24.5,17.319,22.928,0.168,11.695,-0.338,1.62,4.488,25.481,23.306,30.311,180.387,153.976,-26.627,25.708,45.444,350.22,-50.895,64.009,378.294,70.263
Salto C,0115-MORITZ-03-177,16.711,26.817,16.618,24.017,0.217,12.554,-1.013,1.351,5.065,26.612,1.062,15.22,164.234,160.012,0.324,20.374,1.834,340.107,0.717,23.863,378.818,37.341
Salto C,0609-4-01-499,16.234,25.372,15.944,21.799,0.835,16.353,-0.244,1.171,4.723,22.806,4.445,13.945,185.078,146.343,3.229,14.822,8.522,367.56,0.641,24.1,378.965,28.059
40<,20191001-1148-FRANKFURT_1-01-219,18.902,22.824,18.952,19.873,-3.009,10.22,-0.687,1.153,4.749,24.974,-8.19,14.607,207.475,231.712,-10.121,27.607,-13.593,350.409,-22.594,25.921,467.407,43.296
Barani C,20191007-1534-FRANKFURT_2-01-119,18.144,21.237,18.711,20.614,-3.589,8.816,0.588,4.117,3.02,24.036,-29.132,51.309,-22.161,232.643,134.943,113.39,-46.222,-35.487,211.697,67.965,306.184,223.353
Barani A,20191007-1534-FRANKFURT_2-01-48,17.673,22.041,17.863,20.62,-2.334,7.067,0.303,4.608,3.469,25.008,-55.251,59.321,41.524,196.284,113.668,100.709,-91.471,68.652,188.434,99.925,279.275,217.301
Schraubensalto,20190930-1153-FRANKFURT_1-01-220,16.224,24.947,16.105,22.384,-1.44,8.862,-0.849,2.244,5.59,26.257,25.161,81.181,40.017,164.994,198.321,98.948,50.2,81.323,382.473,148.005,299.339,383.977
Fliffis C,20190930-1616-FRANKFURT_1-01-133,31.557,24.29,31.762,21.922,-14.63,18.415,1.606,4.924,0.239,29.059,-70.676,71.738,-184.448,374.675,102.6,109.341,-131.235,-344.264,185.011,152.721,639.535,221.249
Salto B,0827-BK1-01-59,18.09,25.145,18.008,23.442,-0.051,14.319,-0.38,1.829,4.509,25.288,-0.149,18.455,176.044,159.914,11.722,22.213,-0.122,355.219,24.013,32.053,395.625,46.093
Doppelsalto B,0609-1-01-256,28.922,22.57,28.628,19.509,-11.927,19.083,0.079,1.564,-1.338,26.509,6.855,23.95,378.728,272.552,-8.234,24.966,12.618,697.512,-15.186,41.659,724.444,57.628
Salto B,0827-BK2-02-65,18.514,24.347,18.135,22.048,-2.026,12.56,0.334,1.014,5.342,25.793,-4.55,20.348,180.937,198.511,-31.573,20.134,-8.601,340.752,-59.602,35.933,387.662,67.419
Von Bauch in Stand,0609-1-01-115,12.609,24.606,13.04,24.858,6.348,16.851,-0.608,1.497,6.63,18.071,1.492,19.58,22.656,60.032,4.108,19.675,2.62,38.289,7.16,30.54,68.234,36.16
Salto C,20191007-1534-FRANKFURT_2-01-120,18.731,21.975,18.561,19.265,-3.883,8.525,0.041,2.241,4.455,25.468,7.148,19.705,219.0,174.224,-14.411,29.694,11.243,348.086,-29.182,29.434,358.74,48.842
Salto C,20191007-1159-FRANKFURT_1-01-60,17.2,24.189,17.314,21.766,-2.404,4.624,-0.635,1.012,4.748,26.766,-5.713,13.633,203.444,202.629,-0.063,19.284,-9.698,354.735,-0.136,27.305,389.937,39.279
Salto C,0609-1-01-14,16.838,23.964,16.599,22.138,-1.618,8.4,0.094,1.14,4.64,26.23,22.805,20.873,188.727,186.529,-8.126,20.227,43.949,358.762,-15.279,50.383,386.226,39.369
Salto A,20191007-1159-FRANKFURT_1-01-264,15.855,23.127,15.781,20.273,-0.439,7.275,-0.916,1.046,4.784,24.837,-10.216,20.353,200.321,56.397,-16.69,19.359,-16.656,326.401,-26.764,28.396,327.342,36.461
Doppelsalto C,0609-1-01-680,34.553,21.46,34.212,18.79,-17.407,22.394,-0.21,1.579,-4.857,26.754,13.469,25.409,427.914,260.034,-22.215,28.024,22.168,709.226,-37.093,43.597,709.226,60.214
Salto A,0827-BK1-01-131,16.202,23.532,15.902,21.536,0.483,11.355,-0.668,1.557,5.253,24.241,2.121,9.447,181.689,54.906,-4.083,21.268,4.071,354.968,-8.328,18.877,354.975,42.227
Salto A,20191007-1524-FRANKFURT_1-01-98,15.452,24.04,15.412,20.788,-0.193,11.787,0.466,4.368,5.016,22.819,1.246,17.633,216.709,91.104,-25.923,26.804,2.535,350.836,-41.349,26.149,360.99,67.495
Cody C,20190930-1247-FRANKFURT_2-01-149,20.831,26.605,21.488,25.501,-0.604,21.263,0.072,2.306,2.923,22.736,-5.95,35.791,210.451,208.876,-0.711,28.728,-11.973,389.231,-6.079,44.126,504.072,55.273
Salto C,0609-4-01-422,16.046,27.147,15.76,23.444,1.972,16.544,-0.026,2.115,4.98,24.072,-2.294,16.281,174.111,136.309,5.852,19.233,-5.166,362.426,6.07,28.165,380.112,36.203
Salto C,20190930-1616-FRANKFURT_1-01-180,18.122,24.792,18.14,22.287,-1.623,11.258,-0.044,2.445,4.655,26.215,-4.914,17.852,178.784,185.702,2.247,26.837,-9.551,345.701,-2.216,30.782,379.226,49.755
Bauchsprung,0609-1-01-867,11.83,24.276,11.092,21.321,4.33,13.406,0.1,1.653,7.917,20.44,-1.693,14.095,-19.679,69.826,-5.882,23.779,-3.554,-33.72,-10.636,24.665,107.239,39.633
Salto B,0827-BK2-01-81,17.889,24.084,17.663,22.177,-0.991,11.729,0.596,1.294,4.902,25.758,7.738,20.268,171.58,192.078,-12.999,20.311,15.372,334.618,-25.211,35.253,393.401,44.459
Schraubensalto C,0609-4-01-155,17.128,23.271,17.03,20.828,-2.087,11.373,-0.543,2.731,5.721,24.349,50.967,106.293,88.729,130.097,213.118,160.255,96.345,164.869,398.011,161.016,278.615,404.666
Bauchsprung,0609-1-01-207,12.089,25.362,11.474,22.452,4.764,15.157,-0.246,0.965,7.569,20.568,-3.183,11.723,-19.589,66.7,-3.962,19.075,-6.417,-37.126,-7.268,20.526,115.966,36.537
Salto C,0827-BK1-01-10,16.926,25.776,16.749,23.786,0.05,13.17,-0.534,1.441,5.345,25.353,-2.827,11.314,176.085,134.988,1.727,14.423,-5.825,358.946,3.876,22.168,373.566,32.467
Barani A,20191007-1524-FRANKFURT_1-01-33,17.441,24.456,17.829,22.558,-1.591,4.508,0.167,5.816,3.288,26.322,-94.039,70.703,6.5,178.72,99.37,70.322,-159.017,10.423,166.004,165.206,259.725,196.076
Von Bauch in Stand,0609-1-01-304,12.615,25.384,13.106,25.369,6.041,16.701,0.037,1.174,6.994,19.045,1.275,11.464,23.302,68.975,2.543,13.855,2.799,41.022,5.3,18.249,94.126,33.534
Salto B,0827-BK2-02-71,18.717,23.898,18.446,21.806,-2.506,13.097,0.924,1.283,4.765,25.418,9.735,22.935,184.952,194.958,-18.612,27.302,18.019,339.648,-34.034,37.425,377.266,58.531
Salto A,20191001-1202-FRANKFURT_2-01-157,17.731,25.907,17.521,21.763,-1.009,13.308,-1.344,2.161,4.382,23.347,-22.645,13.742,-208.315,56.114,-10.172,34.061,-38.881,-351.382,-16.46,44.419,359.235,62.477
Salto C,0609-4-01-262,15.878,26.444,15.506,22.559,2.017,16.613,-0.539,1.207,4.808,23.407,1.23,16.191,180.302,128.788,-0.818,14.863,2.474,368.824,-6.734,26.44,377.105,31.228
Salto A,0827-BK2-02-127,14.825,23.745,14.496,22.312,0.467,7.77,0.613,0.717,5.472,25.079,11.702,9.881,179.169,33.883,-21.59,12.493,21.789,334.947,-40.372,25.321,334.947,43.164
Fliffis C,20191007-1159-FRANKFURT_1-01-340,36.812,24.895,37.157,22.843,-19.589,22.098,-0.921,3.484,-2.19,30.277,-9.019,49.299,-209.79,432.411,119.827,154.654,-13.611,-338.706,188.722,67.748,678.908,214.205
Salto B,0827-BK2-02-67,17.913,23.09,17.717,21.28,-1.992,10.895,0.719,1.266,4.631,25.238,20.471,30.409,181.761,166.538,-34.168,27.162,37.823,335.652,-63.287,53.011,369.842,75.534
Salto A,0827-BK1-01-103,15.295,24.018,15.129,22.5,0.505,9.777,-0.691,1.558,5.222,24.762,3.26,7.782,175.318,59.711,-5.245,14.655,6.771,354.1,-10.301,16.789,354.1,29.088
Barani A,20191008-1157-FRANKFURT_1-01-91,17.813,23.055,18.149,21.726,-2.757,5.502,-0.467,3.019,4.436,26.456,-51.961,65.209,52.832,192.496,102.995,116.943,-86.435,86.242,170.487,96.168,301.981,190.257
Doppelsalto C,20190930-1616-FRANKFURT_1-01-312,34.703,24.42,34.667,21.534,-17.01,21.918,0.602,2.582,-2.152,29.512,0.561,26.812,385.609,262.491,6.397,23.329,2.257,711.448,7.351,43.548,723.714,59.99
Doppelsalto C,0609-1-01-185,31.787,23.758,31.481,21.597,-14.49,22.503,0.949,1.842,-3.284,27.211,32.419,33.602,390.08,285.501,-7.331,24.783,58.59,703.968,-13.489,63.873,707.668,53.414
Doppelsalto B,0609-1-01-592,30.015,22.926,29.9,20.141,-13.324,18.168,-0.983,2.606,-0.89,27.706,-4.416,51.687,384.075,278.795,-15.109,29.731,-8.352,705.915,-28.089,77.152,741.72,67.131
Salto A,20190930-1616-FRANKFURT_1-01-33,16.723,19.556,17.207,18.927,-1.23,12.937,-0.353,1.049,3.961,20.324,-5.452,10.036,228.463,105.654,13.161,17.969,-8.336,346.846,20.025,16.857,347.364,31.143
Salto C,20191007-1159-FRANKFURT_1-01-347,17.578,23.167,17.622,20.457,-1.572,6.873,-0.791,1.011,4.273,25.511,-9.355,21.012,204.669,211.886,-14.073,24.302,-14.651,343.118,-28.146,37.771,401.857,52.287
Salto A,0827-BK2-02-123,15.081,23.189,14.657,21.27,-0.422,6.434,0.353,1.05,5.385,25.034,5.452,14.768,183.729,45.904,-26.537,17.727,10.248,342.504,-49.619,27.841,342.724,57.931
Salto C,20190930-1616-FRANKFURT_1-01-255,18.301,25.107,18.273,22.602,-1.927,10.74,0.227,2.852,5.214,26.648,1.541,20.67,180.802,183.194,3.19,29.811,2.92,351.209,-0.384,34.492,380.095,56.838
Salto C,0609-4-01-48,15.186,23.115,15.465,21.886,0.509,14.612,-0.238,1.278,4.967,21.339,14.562,12.748,201.687,76.563,-2.431,20.336,26.375,365.211,-4.64,30.97,365.211,34.343
Doppelsalto C,0609-1-01-178,33.971,24.707,33.492,22.129,-15.591,23.546,-0.183,1.609,-4.071,28.979,18.343,30.825,399.105,292.727,-12.606,29.399,32.709,710.184,-23.224,55.374,714.565,66.127
Schraubensalto A,20191007-1534-FRANKFURT_2-01-80,17.418,21.268,17.391,18.808,-3.91,7.2,-0.25,4.704,4.545,23.8,55.601,115.273,117.097,140.833,215.798,169.445,91.308,191.744,353.822,172.528,262.831,368.128
Salto C,0609-1-01-440,17.449,24.069,17.283,22.342,-1.364,11.56,0.131,1.04,4.87,25.346,15.142,15.201,191.336,196.555,-6.254,14.768,28.342,362.467,-11.64,38.226,387.052,34.427
Voll- ein- voll- aus A,0115-MORITZ-03-149,37.569,18.806,37.83,16.521,-19.822,15.128,1.307,6.269,-8.474,30.046,-121.152,235.39,150.888,291.968,-404.525,285.116,-211.89,264.413,-707.385,351.456,534.049,734.171
Salto C,20191007-1159-FRANKFURT_1-01-386,18.933,24.14,18.886,20.976,-0.923,8.108,-0.584,1.647,4.246,26.219,-11.052,18.617,200.367,210.815,-1.654,29.069,-17.014,334.797,-7.35,34.73,382.725,49.42
Fliffis B,0609-4-01-42,29.759,24.652,30.076,21.906,-11.679,18.119,-0.622,2.175,-0.569,28.926,-54.697,90.309,-76.477,351.16,124.157,126.623,-109.446,-154.858,248.746,145.459,606.335,264.17
Barani A,20190930-1616-FRANKFURT_1-01-272,15.914,24.627,16.045,22.394,0.195,6.647,0.007,1.884,3.897,26.481,-88.413,67.637,-3.271,149.724,96.852,55.432,-162.792,-6.544,174.047,166.6,249.145,181.955
3/4 Salto rw A,20190930-1247-FRANKFURT_2-01-263,13.628,28.012,13.306,24.18,4.055,15.018,-1.052,1.393,5.202,23.938,11.661,19.857,156.219,52.702,0.003,26.533,23.391,319.773,-4.308,35.007,322.925,51.418
Von Bauch in Stand,0609-1-01-142,13.071,24.916,13.565,25.001,6.724,18.34,-0.097,1.427,5.947,17.307,3.701,13.965,23.892,54.727,4.82,34.937,6.695,41.026,9.061,24.127,74.655,57.875
Barani A,20191007-1534-FRANKFURT_2-01-28,17.739,22.123,17.92,20.5,-1.785,6.704,0.855,6.528,3.359,24.946,-72.737,75.294,43.749,176.554,117.919,88.627,-120.439,72.455,196.116,131.016,262.11,209.434
Fliffis aus B,0115-MORITZ-03-144,29.347,24.367,29.7,22.45,-10.547,18.319,-0.423,4.332,-1.362,28.689,63.043,115.669,-107.928,367.949,-79.674,102.15,127.772,-220.466,-161.686,179.136,594.439,208.712
Barani C,0609-4-01-534,17.475,23.172,17.51,21.232,-0.825,12.645,-0.197,1.858,4.811,24.123,-26.771,43.12,-38.598,191.785,124.736,83.345,-48.899,-74.185,222.972,69.397,278.405,231.355
Salto C,0609-1-01-545,17.078,24.663,16.868,22.813,-1.164,10.915,0.147,1.241,5.048,25.977,10.803,15.316,188.559,183.117,-5.829,18.038,20.984,366.503,-11.132,33.05,379.581,37.475
Fliffis B,0609-4-01-477,30.541,24.202,30.679,21.076,-11.534,19.632,-0.893,3.077,-0.784,28.436,-54.862,99.351,-43.032,367.786,119.282,129.814,-106.807,-88.672,225.946,154.967,598.865,242.942
Doppelsalto B,0609-1-01-433,28.683,23.647,28.408,20.853,-11.689,18.621,-0.351,1.58,-1.55,27.422,5.896,27.745,373.623,277.474,-2.869,25.584,11.045,699.112,-4.911,47.307,733.985,54.828
1 3/4 Salto vw C,0115-CHARI-05-123,27.39,25.541,27.455,22.252,-15.412,18.559,0.252,1.505,1.332,24.058,-0.876,13.779,-346.078,205.824,-3.746,26.828,-1.444,-672.841,-7.409,27.5,683.607,49.394
Salto C,0827-BK2-01-16,17.451,25.628,17.197,23.674,-0.521,12.999,0.696,1.182,5.552,25.756,3.742,14.337,164.215,184.715,-5.439,22.486,7.458,334.222,-10.385,29.065,370.192,44.329
Doppelsalto B,0609-1-01-227,29.665,21.12,29.442,17.966,-13.217,18.45,0.101,1.928,-1.842,25.881,9.07,38.753,390.828,275.85,-12.233,33.808,15.883,693.228,-21.564,61.168,725.997,71.575
Salto B,0115-JANEIKE-01-17,18.573,25.293,18.164,22.608,0.4,13.38,0.318,1.828,5.148,26.152,17.543,24.45,188.725,160.726,-2.263,30.344,33.127,355.34,-5.382,51.941,383.949,55.025
Salto C,20191007-1159-FRANKFURT_1-01-371,18.823,24.036,18.711,20.636,-1.877,6.821,-0.767,0.988,5.142,26.014,-10.86,19.295,203.655,224.097,-2.657,27.808,-16.979,340.101,-8.862,33.197,408.208,48.077
Doppelsalto B,0115-CHARI-05-40,29.749,22.747,29.768,21.19,-14.151,18.426,1.581,1.778,-1.014,27.415,14.759,29.81,369.335,265.708,-3.234,40.148,27.07,680.137,-5.719,52.846,695.275,60.595
Fliffis C,20191007-1524-FRANKFURT_1-01-115,37.576,25.277,37.324,19.613,-17.403,20.903,1.045,6.149,-6.274,30.262,-60.834,71.338,-223.476,396.606,161.678,143.93,-97.265,-352.521,259.29,126.968,631.736,321.477
Fliffis B,0609-4-01-367,30.546,24.94,30.703,22.112,-12.248,19.403,-0.17,2.904,1.331,28.885,-44.359,80.962,-135.481,353.055,122.509,119.335,-87.921,-275.435,237.828,121.719,631.908,263.646
