SprungID,Sprungtyp,0_mean_Acc_N_Fil,0_std_Acc_N_Fil,0_mean_Gyro_x_R,0_std_Gyro_x_R,0_mean_Gyro_y_R,0_std_Gyro_y_R,0_mean_Gyro_z_R,0_std_Gyro_z_R,0_mean_Gyro_x_Fil,0_std_Gyro_x_Fil,0_mean_Gyro_y_Fil,0_std_Gyro_y_Fil,0_mean_Gyro_z_Fil,0_std_Gyro_z_Fil,25_mean_Acc_N_Fil,25_std_Acc_N_Fil,25_mean_Gyro_x_R,25_std_Gyro_x_R,25_mean_Gyro_y_R,25_std_Gyro_y_R,25_mean_Gyro_z_R,25_std_Gyro_z_R,25_mean_Gyro_x_Fil,25_std_Gyro_x_Fil,25_mean_Gyro_y_Fil,25_std_Gyro_y_Fil,25_mean_Gyro_z_Fil,25_std_Gyro_z_Fil,50_mean_Acc_N_Fil,50_std_Acc_N_Fil,50_mean_Gyro_x_R,50_std_Gyro_x_R,50_mean_Gyro_y_R,50_std_Gyro_y_R,50_mean_Gyro_z_R,50_std_Gyro_z_R,50_mean_Gyro_x_Fil,50_std_Gyro_x_Fil,50_mean_Gyro_y_Fil,50_std_Gyro_y_Fil,50_mean_Gyro_z_Fil,50_std_Gyro_z_Fil,75_mean_Acc_N_Fil,75_std_Acc_N_Fil,75_mean_Gyro_x_R,75_std_Gyro_x_R,75_mean_Gyro_y_R,75_std_Gyro_y_R,75_mean_Gyro_z_R,75_std_Gyro_z_R,75_mean_Gyro_x_Fil,75_std_Gyro_x_Fil,75_mean_Gyro_y_Fil,75_std_Gyro_y_Fil,75_mean_Gyro_z_Fil,75_std_Gyro_z_Fil
0609-1-01-251,Bauchsprung,22.759,32.19,-6.658,11.886,8.87,39.84,-1.892,20.115,-6.431,9.248,8.986,32.072,-2.625,16.19,0.543,0.445,1.292,6.598,-61.503,12.59,-1.79,14.033,1.09,6.32,-61.646,11.143,-1.748,12.743,1.733,0.453,1.47,21.136,-70.489,43.04,-10.458,33.442,1.712,20.037,-70.089,40.831,-10.225,31.138,24.126,35.244,0.211,33.128,48.593,89.994,-12.401,59.051,0.664,28.764,48.127,61.073,-11.78,35.715
0609-1-01-252,Von Bauch in Stand,23.723,33.565,-4.757,26.27,-12.508,90.498,-8.493,47.714,-5.248,18.297,-12.229,51.953,-9.112,16.132,0.542,0.184,5.394,3.392,16.194,12.673,15.924,4.544,5.532,2.716,16.277,12.288,15.776,2.833,0.75,0.223,5.82,5.693,8.082,20.339,9.595,7.173,5.646,3.762,8.281,19.47,9.716,5.139,18.374,26.809,-0.497,18.832,69.069,83.639,5.671,18.137,-0.411,16.386,69.969,79.347,5.576,14.337
0609-1-01-253,Doppelsalto B,27.279,27.243,11.8,22.778,127.937,182.689,-20.981,49.875,11.553,18.091,130.774,165.463,-21.136,25.36,28.395,8.716,-15.411,13.302,586.386,156.547,-0.441,31.399,-14.714,8.118,584.529,156.882,-0.475,17.158,32.9,17.159,33.408,29.226,620.152,233.568,1.366,31.177,32.793,23.156,617.518,224.872,1.301,20.8,17.654,19.101,-3.625,15.495,199.967,46.056,-18.07,26.729,-2.702,11.96,198.597,33.19,-16.994,20.277
0609-1-01-254,Strecksprung,26.816,36.667,2.332,14.277,27.032,25.971,1.443,36.351,1.769,9.834,28.82,25.907,0.309,30.947,0.43,0.148,1.525,7.54,0.795,5.936,-16.913,16.345,1.306,6.908,0.911,4.607,-16.58,14.096,0.444,0.233,-3.707,8.688,-3.107,9.133,-11.466,10.403,-3.648,8.101,-3.097,8.185,-11.216,9.091,15.084,25.525,0.498,17.24,8.063,23.564,31.308,13.941,0.828,14.867,8.612,21.114,30.751,11.039
0609-1-01-258,Bauchsprung,21.079,31.457,-6.723,10.246,13.61,49.625,3.174,13.276,-6.409,8.9,13.423,40.164,3.136,7.07,0.68,0.113,-3.606,4.701,-75.57,15.432,-0.948,10.444,-3.622,4.383,-75.583,14.508,-1.062,9.091,1.39,0.419,8.095,15.247,-69.661,24.539,-14.324,28.631,7.944,13.281,-69.049,23.207,-14.158,26.359,22.443,34.016,-15.194,25.674,45.885,107.308,-9.342,42.897,-14.451,16.03,44.868,81.755,-9.513,28.229
0609-1-01-259,Von Bauch in Stand,24.776,36.225,7.579,15.734,-10.426,48.614,12.481,60.891,6.685,11.753,-9.725,39.174,12.382,29.716,0.784,0.318,9.197,7.067,17.681,6.276,-19.055,15.834,9.591,5.728,17.813,4.408,-18.448,12.918,0.725,0.357,-1.716,11.688,6.22,10.9,7.276,18.091,-1.645,10.716,6.099,6.527,7.118,14.492,24.281,32.312,8.224,24.449,82.725,102.467,17.597,24.466,8.282,21.507,84.385,99.492,16.208,16.761
0609-1-01-260,Doppelsalto B,21.601,21.233,-0.671,35.459,120.522,186.626,-35.41,63.682,-0.921,29.318,121.769,166.9,-33.913,31.193,29.429,8.064,-25.433,16.317,596.716,164.818,26.383,30.841,-24.587,10.847,593.148,160.364,25.568,19.485,35.235,8.871,35.44,47.387,659.849,169.748,11.515,51.89,34.454,42.052,659.481,159.792,11.994,33.983,19.499,23.066,33.756,19.092,214.797,70.836,-23.737,25.483,33.9,17.227,213.43,51.615,-22.872,11.914
0609-1-01-268,Bauchsprung,19.383,28.973,-8.317,10.67,7.576,57.142,-6.577,17.294,-8.053,8.919,6.97,47.981,-6.121,11.573,0.863,0.285,2.368,3.536,-75.726,11.996,-1.206,10.769,2.35,2.755,-75.425,10.128,-1.276,7.972,1.04,0.35,2.858,11.256,-80.446,32.19,-7.571,9.346,2.958,9.666,-79.898,29.51,-7.481,7.144,22.119,33.557,-19.489,31.237,53.643,81.435,-6.874,45.635,-19.906,22.825,52.852,70.277,-5.255,22.653
0609-1-01-269,Von Bauch in Stand,25.28,34.892,31.046,26.035,-23.515,69.189,41.034,67.732,30.932,18.923,-23.337,56.849,38.485,49.944,1.92,0.479,-9.625,8.808,-25.575,38.938,-25.188,28.187,-9.187,6.851,-25.364,37.142,-24.309,25.096,1.874,0.52,-4.827,10.072,35.539,67.377,-14.368,28.1,-4.539,7.508,35.605,65.538,-14.156,24.077,21.992,28.634,4.469,35.084,103.756,60.072,8.878,21.938,3.349,30.074,105.313,53.141,8.221,14.713
0609-1-01-270,Doppelsalto B,25.302,24.15,5.118,15.156,136.727,167.541,-13.129,45.258,6.113,11.171,140.922,146.432,-12.363,18.237,32.568,9.178,-38.469,26.852,621.746,167.899,-14.849,35.202,-37.293,21.658,617.42,173.044,-14.896,19.177,35.382,16.338,77.996,44.936,630.036,225.251,-9.285,49.34,76.311,43.174,626.815,216.76,-9.298,42.651,21.466,22.816,7.393,30.549,216.04,75.645,-20.737,28.699,7.86,25.794,215.995,58.881,-21.418,14.897
