SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil
20190930-1247-FRANKFURT_2-01-151,Salto B,36.147,-3.275,0.357,16.563,-3.154,2.629,15.021,18.079,11.516,443.947,-12.367,11.147,438.89,-12.344,7.361,-4.394,154.526,-6.9,-4.031,159.035,-6.529,19.022,-1.719,149.871,-0.904,-1.14,147.288,-0.663
20191007-1524-FRANKFURT_1-01-178,Doppelsalto B,30.876,20.267,165.074,-24.172,23.138,172.445,-27.298,45.14,44.858,712.949,-40.672,45.138,708.555,-39.382,29.039,63.581,506.96,-30.267,63.069,506.261,-28.892,29.426,44.418,245.856,-13.177,43.275,244.185,-13.784
0115-JANEIKE-01-14,Salto B,30.189,14.496,64.752,-28.402,15.492,67.665,-27.885,14.238,56.887,394.919,-31.099,56.864,391.279,-30.246,3.746,26.828,154.562,-40.82,27.119,154.904,-40.843,21.256,-1.659,107.307,-7.771,-3.013,105.808,-7.666
0115-JANEIKE-01-116,Salto B,28.285,14.559,34.982,-26.363,16.511,37.432,-25.47,15.254,42.409,411.471,-14.131,41.978,406.698,-14.607,3.98,30.143,144.343,-35.34,30.1,145.405,-35.173,22.727,2.067,155.503,-7.473,0.851,153.764,-7.245
0609-1-01-738,Doppelsalto C,30.469,7.519,171.375,-8.453,6.489,175.83,-7.914,51.862,-47.799,782.726,14.666,-45.822,775.983,12.172,27.086,77.11,502.598,-22.396,75.84,503.956,-21.009,24.703,-20.388,175.774,-12.716,-19.247,175.202,-12.604
0609-4-01-16,Fliffis B,52.459,-7.933,-443.912,18.03,-7.225,-438.269,16.756,26.824,23.397,-302.207,122.054,21.319,-303.542,122.362,19.717,-188.581,93.674,294.11,-186.411,93.709,293.556,18.683,3.529,270.235,58.867,2.861,266.656,60.207
0110-MORITZ-01-156,Salto C,30.204,-10.33,109.452,8.536,-9.747,110.078,8.005,10.947,-9.113,313.404,21.456,-9.695,312.977,21.326,3.069,10.057,136.87,10.906,9.989,136.576,10.883,17.195,6.427,91.666,-2.413,6.168,89.52,-2.367
0609-1-01-95,Doppelsalto C,32.96,10.742,162.903,-13.398,10.798,168.12,-13.626,49.627,24.877,769.39,-10.884,24.814,764.385,-12.727,17.488,33.949,407.04,-7.749,33.593,406.683,-6.043,16.769,4.327,205.428,-19.166,4.796,201.552,-17.944
0827-BK2-01-28,Salto C,28.695,-1.32,58.616,-11.141,-1.365,61.273,-11.494,13.267,0.182,406.466,3.235,0.012,403.282,3.13,2.509,-0.608,79.338,-6.634,-0.324,79.62,-6.661,18.378,3.491,119.357,-12.041,3.44,118.661,-12.126
0827-BK1-01-92,Salto B,30.023,2.071,10.212,-0.487,1.692,13.025,-1.459,18.947,-46.499,412.388,49.611,-46.503,408.927,48.511,3.755,-8.851,150.574,18.493,-8.754,151.192,18.932,17.485,-3.576,130.402,3.69,-3.405,129.989,4.711
