Time,TimeInJump,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
,,11.377,12.092,-4.421,-4.066,-9.299,-133.283,102.554,233.855,20191008-1207-FRANKFURT_2-01-147,Baby- Fliffis C,-79.048,-29.757,209.926,100.877,370.959,254.593
,,25.252,14.078,-0.934,-0.447,13.292,-1.707,275.225,8.985,20191008-1207-FRANKFURT_2-01-147,Baby- Fliffis C,-79.048,-29.757,209.926,100.877,370.959,254.593
,,34.005,43.597,-5.642,-1.667,14.935,33.398,-380.753,31.805,20191007-1159-FRANKFURT_1-01-126,Barani B,27.94,-27.653,181.399,49.997,346.837,207.219
,,10.51,10.996,-6.586,2.674,-3.581,20.042,-102.311,203.176,20191007-1159-FRANKFURT_1-01-126,Barani B,27.94,-27.653,181.399,49.997,346.837,207.219
,,8.996,9.564,-5.074,-3.55,-5.737,22.531,122.723,252.489,20191007-1159-FRANKFURT_1-01-126,Barani B,27.94,-27.653,181.399,49.997,346.837,207.219
,,24.231,13.235,0.075,-1.423,16.473,-3.177,290.081,-15.984,20191007-1159-FRANKFURT_1-01-126,Barani B,27.94,-27.653,181.399,49.997,346.837,207.219
,,24.242,34.714,1.149,-0.015,17.604,53.642,164.131,130.675,20190930-1153-FRANKFURT_1-01-166,Schraubensalto,65.717,82.06,397.443,171.471,260.675,415.309
,,5.044,4.364,-4.204,-0.81,-2.136,156.717,-58.327,255.973,20190930-1153-FRANKFURT_1-01-166,Schraubensalto,65.717,82.06,397.443,171.471,260.675,415.309
,,11.976,11.647,-6.006,-2.658,-9.642,-95.054,-101.426,340.174,20190930-1153-FRANKFURT_1-01-166,Schraubensalto,65.717,82.06,397.443,171.471,260.675,415.309
,,23.26,13.879,3.647,-2.597,11.4,21.998,163.93,129.494,20190930-1153-FRANKFURT_1-01-166,Schraubensalto,65.717,82.06,397.443,171.471,260.675,415.309
,,23.013,32.029,1.741,0.055,14.86,23.043,237.773,-15.479,20191007-1150-FRANKFURT_2-01-225,Salto A,36.819,355.424,6.142,38.857,355.887,37.025
,,8.255,8.104,-0.696,-0.015,-7.842,2.837,211.268,8.082,20191007-1150-FRANKFURT_2-01-225,Salto A,36.819,355.424,6.142,38.857,355.887,37.025
,,8.874,8.525,-3.606,-0.392,-7.903,23.723,182.475,20.228,20191007-1150-FRANKFURT_2-01-225,Salto A,36.819,355.424,6.142,38.857,355.887,37.025
,,23.829,14.102,1.794,0.427,15.422,39.713,228.246,12.627,20191007-1150-FRANKFURT_2-01-225,Salto A,36.819,355.424,6.142,38.857,355.887,37.025
,,26.632,36.369,7.473,0.419,11.539,-11.825,164.465,10.624,0609-4-01-258,Salto C,3.744,363.84,5.157,23.913,383.2,29.919
,,11.526,11.895,-7.375,-0.33,-4.41,6.541,293.932,15.5,0609-4-01-258,Salto C,3.744,363.84,5.157,23.913,383.2,29.919
,,3.481,3.716,-1.623,-0.623,-2.98,11.296,142.406,5.406,0609-4-01-258,Salto C,3.744,363.84,5.157,23.913,383.2,29.919
,,22.743,11.19,8.663,0.266,13.579,2.109,116.955,-10.547,0609-4-01-258,Salto C,3.744,363.84,5.157,23.913,383.2,29.919
,,28.168,39.613,19.649,0.891,12.082,5.637,-10.832,6.742,0609-1-01-701,Von Bauch in Stand,2.959,34.157,5.36,19.13,73.754,40.307
,,1.875,2.042,-0.586,-0.101,-0.218,-2.895,14.079,23.206,0609-1-01-701,Von Bauch in Stand,2.959,34.157,5.36,19.13,73.754,40.307
,,1.863,1.471,0.806,-0.228,-0.569,4.996,6.765,-20.141,0609-1-01-701,Von Bauch in Stand,2.959,34.157,5.36,19.13,73.754,40.307
,,19.77,10.314,8.91,-0.527,12.653,-0.367,74.013,4.144,0609-1-01-701,Von Bauch in Stand,2.959,34.157,5.36,19.13,73.754,40.307
,,20.869,30.703,2.611,-0.821,18.88,1.742,-8.352,-2.34,0609-1-01-852,Bauchsprung,-2.984,-40.66,-16.867,30.798,116.367,44.529
,,2.148,1.766,-1.168,-0.075,-0.586,4.141,-105.391,2.679,0609-1-01-852,Bauchsprung,-2.984,-40.66,-16.867,30.798,116.367,44.529
,,2.088,1.647,0.426,-0.405,-0.71,0.498,-30.826,2.647,0609-1-01-852,Bauchsprung,-2.984,-40.66,-16.867,30.798,116.367,44.529
,,22.394,10.943,16.815,3.158,10.012,-12.595,52.869,-39.417,0609-1-01-852,Bauchsprung,-2.984,-40.66,-16.867,30.798,116.367,44.529
