SprungID,Sprungtyp,avg_Acc_N_Fil,std_Acc_N_Fil,avg_Gyro_x_R,std_Gyro_x_R,avg_Gyro_y_R,std_Gyro_y_R,avg_Gyro_z_R,std_Gyro_z_R,avg_Gyro_x_Fil,std_Gyro_x_Fil,avg_Gyro_y_Fil,std_Gyro_y_Fil,avg_Gyro_z_Fil,std_Gyro_z_Fil
20191001-1202-FRANKFURT_2-01-154,Salto A,16.449,20.83,-18.145,23.345,-217.494,71.931,-11.431,85.007,-18.038,18.562,-215.737,56.07,-9.462,27.665
20191001-1202-FRANKFURT_2-01-155,Salto A,16.349,19.621,-13.361,18.768,-220.594,93.19,-11.372,103.282,-13.727,12.26,-220.412,72.475,-12.108,37.899
20191001-1202-FRANKFURT_2-01-156,Salto A,15.558,20.239,-23.808,18.863,-209.726,77.755,-9.854,103.77,-23.353,12.629,-209.956,54.428,-9.859,34.056
20191001-1202-FRANKFURT_2-01-167,Strecksprung,10.223,21.753,1.392,18.008,4.751,60.352,2.157,33.925,1.522,13.441,4.738,49.034,2.554,19.576
20191001-1202-FRANKFURT_2-01-171,Salto A,16.625,20.483,-18.467,27.168,-213.766,70.31,-10.0,93.333,-18.696,21.074,-212.127,58.432,-8.34,32.359
20191001-1202-FRANKFURT_2-01-172,Salto A,16.467,19.917,-18.736,27.468,-221.27,91.666,-6.756,107.974,-18.799,19.8,-220.679,68.126,-6.045,36.737
20191001-1202-FRANKFURT_2-01-173,Salto A,16.501,20.924,-13.215,22.454,-212.375,109.396,-9.107,99.094,-13.038,15.058,-213.093,84.373,-10.578,29.972
20191001-1202-FRANKFURT_2-01-174,Strecksprung,10.016,21.844,0.121,18.399,7.278,63.505,3.833,54.613,0.325,11.83,6.643,49.18,2.13,16.019
20191001-1202-FRANKFURT_2-01-183,Salto A,16.714,20.276,-7.993,18.551,-220.961,76.921,-8.301,87.129,-8.391,12.108,-218.958,62.208,-6.712,28.135
20191001-1202-FRANKFURT_2-01-184,Salto A,16.283,19.518,-17.935,25.347,-221.026,86.719,-5.955,98.972,-17.682,15.569,-220.908,58.523,-6.064,31.458
20191001-1202-FRANKFURT_2-01-185,Salto A,17.045,19.569,4.793,29.511,-219.347,90.793,-15.78,88.273,4.623,20.969,-219.981,68.336,-16.49,41.193
20191001-1202-FRANKFURT_2-01-195,Strecksprung,9.911,21.282,-0.275,14.744,-6.997,46.179,3.785,35.037,-0.184,11.697,-8.113,36.462,4.165,15.076
20191001-1202-FRANKFURT_2-01-196,Salto A,16.283,19.606,-9.076,20.783,-212.64,72.273,-6.674,79.39,-9.215,16.192,-210.893,53.042,-5.107,28.523
20191001-1202-FRANKFURT_2-01-197,Salto A,15.815,20.539,-13.149,22.908,-224.257,94.313,-8.591,90.633,-13.029,17.511,-223.901,71.964,-8.391,22.597
20191001-1202-FRANKFURT_2-01-198,Salto A,16.098,20.661,-15.391,21.796,-211.88,87.44,-8.437,98.66,-15.093,14.901,-212.794,63.122,-9.836,24.195
20191003-1152-FRANKFURT_1-01-14,3/4 Salto rw A,13.356,23.539,-4.854,18.053,171.961,77.647,1.119,31.553,-4.625,15.394,171.32,75.854,1.247,27.109
20191003-1152-FRANKFURT_1-01-15,Cody C,21.779,24.292,-21.589,28.706,228.929,236.18,-0.876,28.278,-21.413,25.176,229.014,228.672,-1.172,18.444
20191003-1152-FRANKFURT_1-01-16,Grätschwinkel,14.195,21.311,-1.336,19.444,6.2,121.943,4.913,37.161,-1.767,16.769,6.85,118.802,5.05,28.018
20191003-1152-FRANKFURT_1-01-17,Salto B,19.549,20.867,-12.097,22.779,210.901,235.083,8.642,29.449,-12.085,18.067,210.699,228.748,8.32,19.718
20191003-1152-FRANKFURT_1-01-18,Strecksprung,10.649,21.613,-2.938,7.941,-8.366,27.665,2.532,15.981,-2.839,6.828,-8.298,24.78,2.762,12.862
20191003-1152-FRANKFURT_1-01-27,3/4 Salto rw A,13.017,22.31,-12.428,14.282,174.805,81.879,7.491,18.308,-11.986,11.794,174.323,79.626,7.519,11.442
20191003-1152-FRANKFURT_1-01-28,Cody C,21.737,23.7,-25.177,29.183,225.585,235.517,-1.445,27.19,-25.441,24.326,225.628,227.886,-1.172,19.298
20191003-1152-FRANKFURT_1-01-29,Grätschwinkel,14.71,21.844,-5.43,31.789,9.219,129.369,8.11,34.32,-5.477,26.912,9.886,126.102,7.724,24.907
20191003-1152-FRANKFURT_1-01-30,Salto B,18.449,19.598,-24.187,37.431,196.1,239.475,9.268,34.391,-24.225,35.157,195.434,233.136,9.327,27.805
20191003-1152-FRANKFURT_1-01-39,Strecksprung,10.496,22.306,-2.544,16.742,-1.497,56.619,1.006,18.556,-2.501,14.007,-1.457,55.167,1.076,14.988
20191003-1152-FRANKFURT_1-01-42,3/4 Salto rw A,12.759,22.437,-10.552,12.119,171.17,76.137,9.668,29.836,-10.558,8.897,170.743,73.817,9.944,18.879
20191003-1152-FRANKFURT_1-01-43,Cody C,22.597,24.739,-17.897,26.929,227.292,226.752,-2.699,29.053,-17.744,23.837,227.483,217.962,-3.004,21.324
20191003-1152-FRANKFURT_1-01-44,Grätschwinkel,13.052,20.361,-3.995,14.317,3.009,123.905,2.914,28.095,-4.118,11.263,3.457,120.982,2.948,21.079
20191003-1152-FRANKFURT_1-01-45,Salto B,19.37,20.466,-12.477,18.59,209.853,235.239,5.851,29.073,-12.469,14.64,209.032,228.598,5.921,21.943
20191003-1152-FRANKFURT_1-01-46,Barani A,17.039,20.622,81.708,83.068,2.939,175.191,-90.468,77.807,81.661,81.754,3.608,172.51,-90.729,74.289
20191003-1152-FRANKFURT_1-01-47,Salto A,15.298,19.712,-8.501,12.427,210.822,88.909,-1.257,16.136,-8.398,9.492,210.49,84.912,-1.097,12.011
20191003-1152-FRANKFURT_1-01-54,Strecksprung,11.075,22.717,0.263,20.615,-1.312,52.004,0.402,16.149,0.218,18.493,-1.352,48.555,0.473,12.651
20191003-1152-FRANKFURT_1-01-61,3/4 Salto rw A,13.278,22.317,-7.096,13.997,170.299,78.069,5.029,25.19,-6.948,11.64,169.614,75.35,5.403,19.798
20191003-1152-FRANKFURT_1-01-62,Cody C,22.14,23.712,-19.79,22.341,235.701,247.179,5.051,38.841,-19.846,18.228,235.791,236.529,4.486,23.424
20191003-1152-FRANKFURT_1-01-63,Grätschwinkel,14.393,21.883,-5.768,19.637,5.543,125.975,3.558,29.378,-5.858,15.402,6.229,122.243,3.63,22.92
20191003-1152-FRANKFURT_1-01-64,Salto B,18.528,19.555,-17.534,23.342,208.471,236.197,-1.543,31.278,-17.512,20.275,207.789,229.863,-1.694,25.549
20191003-1152-FRANKFURT_1-01-65,Barani A,17.633,21.924,75.643,100.025,21.915,164.069,-106.312,76.913,75.709,98.418,22.297,161.435,-106.196,74.725
20191003-1152-FRANKFURT_1-01-66,Salto A,16.624,20.051,-4.0,19.259,209.954,100.744,0.99,30.643,-4.054,15.572,210.435,95.773,1.039,26.707
20191003-1152-FRANKFURT_1-01-76,Barani A,17.151,20.012,85.671,86.928,-4.985,179.709,-93.187,77.962,85.657,85.318,-4.853,177.207,-93.15,75.434
20191003-1152-FRANKFURT_1-01-77,Salto A,14.565,19.111,-23.056,18.606,207.14,50.872,-7.736,17.401,-22.923,16.981,206.868,46.067,-7.589,10.731
20191003-1152-FRANKFURT_1-01-88,Barani A,17.51,20.418,100.211,96.562,-7.192,162.399,-93.291,62.67,100.254,95.105,-6.828,159.951,-93.083,58.94
20191003-1152-FRANKFURT_1-01-89,Salto A,14.983,19.609,-5.039,16.033,215.218,83.061,4.229,18.914,-5.12,13.648,215.208,78.115,3.997,13.067
20191003-1152-FRANKFURT_1-01-90,Schraubensalto A,16.604,17.512,-15.805,125.212,106.343,154.863,-210.094,146.697,-15.51,122.791,105.71,151.87,-210.007,144.62
20191003-1152-FRANKFURT_1-01-91,Barani C,18.802,21.756,41.366,47.614,-25.141,216.726,-123.992,99.202,41.287,46.005,-24.951,213.377,-123.774,96.777
20191003-1152-FRANKFURT_1-01-93,Strecksprung,10.637,20.389,-0.152,12.597,-0.366,64.846,1.767,21.176,-0.23,9.69,-0.427,62.074,1.909,16.223
20191003-1152-FRANKFURT_1-01-102,Barani A,16.838,20.487,99.475,96.292,-3.618,165.312,-87.529,67.461,99.545,94.254,-3.258,162.558,-87.884,61.186
20191003-1152-FRANKFURT_1-01-103,Salto A,15.27,19.45,-9.787,16.903,216.411,101.015,0.769,24.825,-9.715,12.252,216.508,96.126,0.961,16.342
20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,17.614,19.926,-26.834,115.428,120.13,141.003,-209.845,179.819,-26.804,112.092,119.592,137.333,-209.449,177.547
20191003-1152-FRANKFURT_1-01-105,Barani C,16.935,19.883,69.085,66.201,-24.2,210.593,-110.086,77.617,69.003,63.487,-23.822,207.501,-110.581,72.644
20191003-1152-FRANKFURT_1-01-106,Salto C,17.114,20.008,-7.672,19.374,199.17,195.137,-4.862,24.965,-7.711,15.72,198.806,189.752,-4.632,12.972
20191003-1152-FRANKFURT_1-01-107,Strecksprung,10.741,21.838,2.866,18.694,1.549,44.478,8.854,28.1,2.864,16.744,2.11,41.301,8.657,21.584
20191003-1152-FRANKFURT_1-01-114,Strecksprung,11.055,23.071,-3.586,13.716,-1.087,65.487,2.296,18.956,-3.536,11.493,-1.087,63.396,2.208,16.916
20191003-1152-FRANKFURT_1-01-118,Fliffis C,35.773,21.153,67.36,84.652,-248.823,398.792,-114.546,116.499,67.387,80.721,-249.347,393.811,-114.428,112.913
20191003-1152-FRANKFURT_1-01-121,Strecksprung,10.886,21.829,-0.115,15.451,0.571,65.637,1.825,15.984,-0.147,12.91,0.535,62.75,1.599,12.801
20191003-1152-FRANKFURT_1-01-123,Strecksprung,10.778,22.458,1.855,20.009,0.533,55.064,4.112,23.334,1.813,17.908,0.502,53.086,3.936,21.432
20191003-1152-FRANKFURT_1-01-129,Fliffis C,36.231,21.716,75.175,91.248,-225.582,397.068,-102.88,109.37,75.049,87.226,-225.688,392.8,-103.313,104.935
20191003-1152-FRANKFURT_1-01-132,Strecksprung,10.923,21.254,-0.37,18.878,-1.56,69.31,4.404,16.244,-0.415,16.604,-1.562,66.763,4.379,11.305
20191003-1152-FRANKFURT_1-01-138,Strecksprung,10.526,23.018,-2.314,13.953,1.247,65.019,4.06,13.437,-2.208,12.481,1.303,62.599,4.131,9.332
20191003-1152-FRANKFURT_1-01-146,Fliffis C,35.65,22.17,83.297,99.942,-242.652,391.406,-104.552,102.536,83.479,95.495,-242.489,386.958,-104.997,96.659
20191003-1152-FRANKFURT_1-01-159,Salto C,17.303,20.914,-6.588,14.472,198.02,186.28,2.413,26.385,-6.742,9.973,197.196,180.721,2.659,17.637
20191003-1152-FRANKFURT_1-01-160,Fliffis C,36.126,22.16,89.487,97.096,-228.443,400.479,-107.093,98.722,89.788,91.527,-228.406,395.747,-107.701,91.898
20191007-1150-FRANKFURT_2-01-36,Strecksprung,9.635,18.466,1.949,17.866,1.149,65.815,-2.11,21.179,1.941,15.619,1.061,61.406,-1.948,16.921
20191007-1150-FRANKFURT_2-01-37,Strecksprung,10.664,20.829,1.732,15.51,0.676,72.179,0.057,22.374,1.686,12.647,0.71,69.499,0.07,16.209
20191007-1150-FRANKFURT_2-01-42,3/4 Salto rw A,12.976,20.626,1.582,18.511,172.173,62.617,-16.637,30.405,1.67,14.383,171.378,58.477,-16.554,20.261
20191007-1150-FRANKFURT_2-01-43,Cody C,22.566,22.064,-3.307,27.037,242.349,230.372,-8.029,55.107,-3.181,20.658,242.51,216.85,-8.322,39.016
20191007-1150-FRANKFURT_2-01-44,Grätschwinkel,14.358,20.146,5.392,33.49,12.029,119.548,17.784,47.893,5.056,29.295,13.06,115.084,17.328,31.938
20191007-1150-FRANKFURT_2-01-45,Salto B,18.965,18.443,18.988,28.049,214.111,194.505,-15.164,36.402,19.015,23.264,213.247,185.282,-14.434,27.718
20191007-1150-FRANKFURT_2-01-46,Barani A,16.897,18.895,-73.901,89.22,24.159,184.126,111.236,84.057,-73.959,87.577,23.654,179.039,111.18,80.636
20191007-1150-FRANKFURT_2-01-47,Strecksprung,10.577,21.999,-1.418,8.552,-8.647,49.011,-0.089,17.337,-1.002,7.371,-7.856,48.526,-0.013,11.837
20191007-1150-FRANKFURT_2-01-56,3/4 Salto rw A,12.709,20.351,6.887,16.53,176.648,55.662,-14.126,36.889,7.115,11.586,175.354,52.202,-13.682,26.399
20191007-1150-FRANKFURT_2-01-57,Cody C,22.727,23.364,12.391,31.307,241.044,224.733,6.325,50.139,12.355,24.14,240.749,208.056,6.101,35.903
20191007-1150-FRANKFURT_2-01-58,Grätschwinkel,14.147,20.122,5.104,18.418,9.704,98.483,4.161,24.922,4.827,14.022,10.537,94.716,4.322,17.297
20191007-1150-FRANKFURT_2-01-59,Salto B,18.531,18.502,16.793,23.103,215.833,188.756,-8.314,30.886,16.862,18.791,215.778,177.781,-8.149,21.724
20191007-1150-FRANKFURT_2-01-60,Barani A,17.267,19.953,-70.343,80.843,28.075,186.233,106.807,89.484,-70.331,79.155,27.521,181.329,106.756,86.145
20191007-1150-FRANKFURT_2-01-68,Grätschwinkel,14.216,20.672,0.657,22.705,2.388,104.791,-0.359,30.659,0.673,20.429,2.864,100.839,0.308,23.023
20191007-1150-FRANKFURT_2-01-69,Salto B,18.801,19.148,23.466,24.308,209.727,201.091,-7.779,43.353,23.035,19.368,208.42,193.301,-8.856,31.999
20191007-1150-FRANKFURT_2-01-70,Barani A,16.903,18.236,-67.452,77.402,36.113,194.282,111.332,111.271,-66.932,75.763,36.395,190.357,111.369,107.069
20191007-1150-FRANKFURT_2-01-71,Schraubensalto A,16.915,17.557,77.922,94.095,113.508,190.857,222.599,184.41,77.642,90.157,113.282,183.283,223.672,178.422
20191007-1150-FRANKFURT_2-01-72,Salto A,16.135,20.542,10.956,25.01,214.142,53.438,-9.421,32.759,11.273,22.318,213.766,46.005,-9.669,22.215
20191007-1150-FRANKFURT_2-01-79,Strecksprung,11.544,22.696,1.182,20.9,4.362,63.844,0.913,20.582,1.211,18.897,4.332,61.257,0.884,16.572
20191007-1150-FRANKFURT_2-01-82,Grätschwinkel,14.516,21.062,1.197,20.672,4.109,113.152,0.873,30.223,1.358,16.564,4.29,108.703,1.297,22.976
20191007-1150-FRANKFURT_2-01-83,Salto B,18.657,19.319,15.296,25.176,207.89,199.734,-2.416,33.747,14.83,19.257,206.595,191.319,-2.659,25.495
20191007-1150-FRANKFURT_2-01-84,Barani A,16.479,18.678,-56.915,74.517,34.642,196.344,115.862,97.512,-56.503,73.383,34.973,192.185,116.045,93.073
20191007-1150-FRANKFURT_2-01-85,Schraubensalto A,16.282,17.778,72.998,104.717,128.546,165.909,208.344,185.753,72.771,102.126,128.638,160.257,208.295,181.842
20191007-1150-FRANKFURT_2-01-86,Salto A,15.4,18.6,7.956,28.836,214.324,60.345,-1.77,40.361,7.947,25.838,213.688,53.69,-2.398,32.89
20191007-1150-FRANKFURT_2-01-94,Grätschwinkel,14.715,22.048,-0.622,29.227,3.158,108.433,-1.591,41.158,-0.365,23.523,2.913,104.178,-1.468,27.985
20191007-1150-FRANKFURT_2-01-95,Salto B,18.127,19.905,23.796,33.498,200.169,193.075,-17.005,38.291,23.698,28.884,199.385,184.581,-16.747,30.369
20191007-1150-FRANKFURT_2-01-96,Barani A,16.904,20.168,-60.349,86.245,41.627,183.525,116.304,87.229,-60.669,83.483,42.479,179.79,115.976,82.928
20191007-1150-FRANKFURT_2-01-97,Schraubensalto A,17.094,19.02,56.103,107.627,120.37,175.391,207.754,181.045,56.318,104.587,120.032,167.953,208.294,176.252
20191007-1150-FRANKFURT_2-01-98,Salto A,14.709,19.173,-5.391,37.206,198.521,53.325,-11.433,40.929,-5.212,34.585,198.307,47.936,-11.616,28.609
20191007-1150-FRANKFURT_2-01-103,Strecksprung,9.395,19.996,0.421,19.707,2.738,58.458,3.235,31.079,0.69,16.686,2.558,56.611,3.402,23.01
20191007-1150-FRANKFURT_2-01-106,Grätschwinkel,14.044,20.909,2.425,23.342,3.646,96.253,2.708,26.681,2.366,18.961,3.375,91.887,2.885,18.764
20191007-1150-FRANKFURT_2-01-107,Salto B,18.491,19.359,14.871,25.466,208.537,199.165,3.922,33.054,14.694,19.678,207.641,190.221,3.702,24.249
20191007-1150-FRANKFURT_2-01-108,Barani A,17.817,20.709,-60.6,83.191,42.808,177.56,110.099,94.388,-60.373,81.873,43.218,174.774,110.047,91.158
20191007-1150-FRANKFURT_2-01-109,Schraubensalto A,15.687,16.417,60.399,112.501,120.613,163.28,224.149,184.222,60.369,109.907,120.744,158.421,223.797,181.461
20191007-1150-FRANKFURT_2-01-110,Salto A,16.801,20.672,13.12,24.551,217.687,77.048,-5.545,30.009,13.212,20.295,217.638,63.2,-5.15,19.992
20191007-1150-FRANKFURT_2-01-111,Strecksprung,10.577,21.719,-3.225,14.877,-9.177,45.232,-2.392,16.153,-3.06,13.221,-9.377,43.289,-2.378,12.31
20191007-1150-FRANKFURT_2-01-117,Barani A,18.121,21.327,-66.401,78.86,36.595,196.412,109.792,91.472,-66.234,77.391,36.664,192.498,109.925,87.325
20191007-1150-FRANKFURT_2-01-118,Schraubensalto A,15.912,16.976,63.953,116.05,111.772,155.92,216.723,178.934,63.772,112.96,111.659,150.598,216.566,175.684
20191007-1150-FRANKFURT_2-01-119,Salto A,15.955,20.131,7.087,22.156,212.102,55.879,-11.574,27.297,7.214,18.76,211.852,48.785,-11.398,18.963
20191007-1150-FRANKFURT_2-01-120,Rudi,23.313,18.089,63.75,130.108,15.788,222.141,363.153,302.003,63.626,125.414,15.855,217.382,362.975,297.259
20191007-1150-FRANKFURT_2-01-127,Strecksprung,10.422,21.916,2.562,18.883,0.506,60.522,4.052,26.797,2.536,16.385,0.533,57.2,4.016,18.672
20191007-1150-FRANKFURT_2-01-129,Barani A,16.83,19.953,-68.911,80.512,41.424,183.895,104.127,91.422,-69.029,78.735,41.06,180.255,104.529,85.995
20191007-1150-FRANKFURT_2-01-130,Schraubensalto A,16.816,18.967,37.826,134.345,128.377,132.568,215.674,187.606,37.931,131.41,128.454,128.349,215.631,184.496
20191007-1150-FRANKFURT_2-01-131,Salto A,16.716,21.467,8.006,22.539,206.953,65.278,-7.595,28.793,8.181,20.021,206.965,53.94,-7.173,20.563
20191007-1150-FRANKFURT_2-01-132,Rudi,22.141,16.995,47.524,131.921,32.19,218.598,370.991,283.291,47.144,127.436,32.059,213.582,369.546,279.1
20191007-1150-FRANKFURT_2-01-133,Salto C,16.988,19.588,29.19,29.455,208.293,177.632,-13.622,41.446,29.333,24.803,207.841,170.336,-12.446,30.095
20191007-1150-FRANKFURT_2-01-141,Salto A,16.108,20.721,11.597,20.222,205.079,59.687,-5.291,26.48,11.251,16.274,203.829,51.577,-5.345,17.756
20191007-1150-FRANKFURT_2-01-142,Rudi,22.606,16.62,35.167,125.754,10.74,216.209,371.55,298.032,35.119,121.163,10.805,210.891,371.063,293.331
20191007-1150-FRANKFURT_2-01-143,Salto C,17.204,19.801,31.577,26.842,218.496,172.45,-11.771,40.41,31.261,18.586,218.184,162.195,-11.694,30.317
20191007-1150-FRANKFURT_2-01-144,Fliffis C,40.466,20.674,-57.54,93.374,-245.052,391.451,127.053,171.916,-57.145,89.517,-244.133,387.248,127.705,164.23
20191007-1150-FRANKFURT_2-01-151,Salto A,14.913,18.703,8.447,17.324,203.647,55.654,0.463,25.513,8.538,13.6,202.63,46.866,0.434,16.22
20191007-1150-FRANKFURT_2-01-152,Rudi,22.84,19.217,45.907,126.754,24.2,194.682,357.392,304.261,45.557,121.288,25.054,189.701,357.708,297.906
20191007-1150-FRANKFURT_2-01-153,Salto C,17.367,20.218,11.335,19.735,215.374,171.998,-13.094,36.868,11.218,14.916,214.51,164.714,-13.056,27.384
20191007-1150-FRANKFURT_2-01-154,Fliffis C,40.775,20.223,-42.579,73.06,-261.712,398.451,127.514,178.469,-42.192,68.035,-261.596,393.783,127.046,172.943
20191007-1150-FRANKFURT_2-01-157,Strecksprung,10.576,20.595,2.741,19.368,2.554,71.427,1.807,21.137,2.707,16.547,2.628,67.257,1.93,13.825
20191007-1150-FRANKFURT_2-01-160,Strecksprung,10.289,21.581,3.857,15.07,3.11,71.099,-0.023,18.813,3.715,12.765,3.086,67.273,0.087,13.086
20191007-1150-FRANKFURT_2-01-164,3/4 Salto rw A,13.457,21.523,9.017,16.256,175.114,57.659,-10.943,28.831,8.888,12.374,173.354,54.706,-10.936,19.19
20191007-1150-FRANKFURT_2-01-165,Cody C,23.144,22.833,6.946,27.527,237.487,235.163,-2.384,53.488,6.835,21.485,239.38,214.528,-2.922,32.639
20191007-1150-FRANKFURT_2-01-166,Grätschwinkel,13.707,18.986,0.21,19.303,11.077,120.123,10.157,31.194,0.526,15.708,10.617,113.955,10.637,20.447
20191007-1150-FRANKFURT_2-01-167,Salto B,18.868,19.019,21.524,25.766,208.558,205.617,-9.2,33.918,20.986,18.898,208.217,195.768,-9.131,25.324
20191007-1150-FRANKFURT_2-01-168,Barani A,16.786,18.583,-69.609,76.846,37.766,189.258,114.487,94.134,-69.191,75.642,37.327,185.396,114.368,90.445
20191007-1150-FRANKFURT_2-01-169,Schraubensalto A,16.914,18.36,58.758,102.499,122.035,170.21,226.584,178.616,58.867,99.679,121.832,162.729,226.299,175.57
20191007-1150-FRANKFURT_2-01-170,Salto A,16.11,21.17,10.86,19.713,207.176,51.309,-2.649,36.755,10.849,15.62,207.055,46.037,-2.172,26.58
20191007-1150-FRANKFURT_2-01-171,Rudi,22.126,17.402,44.378,135.838,3.52,216.193,364.548,286.27,44.218,130.853,4.394,211.716,363.817,281.675
20191007-1150-FRANKFURT_2-01-172,Salto C,17.722,21.049,2.529,32.187,209.152,168.938,-18.225,46.665,2.287,27.822,207.814,161.08,-17.472,36.822
20191007-1150-FRANKFURT_2-01-173,Fliffis C,40.332,20.376,-40.595,66.232,-273.094,396.329,136.663,161.945,-40.098,59.593,-273.03,390.756,136.433,155.086
20191007-1150-FRANKFURT_2-01-177,Strecksprung,11.346,22.808,-0.478,26.945,4.009,63.936,-1.008,30.841,-0.479,23.155,4.041,61.734,-1.12,26.161
20191007-1150-FRANKFURT_2-01-180,Fliffis B,35.66,17.135,-10.243,81.735,-264.746,409.307,131.34,178.061,-10.501,76.651,-266.023,403.015,130.981,171.809
20191007-1150-FRANKFURT_2-01-186,Strecksprung,10.583,21.735,3.796,16.037,2.9,63.719,3.381,17.44,3.673,12.966,2.772,60.179,3.299,13.163
20191007-1150-FRANKFURT_2-01-188,Fliffis B,35.746,17.024,-27.796,92.262,-235.183,422.999,131.229,168.345,-27.913,86.072,-235.057,416.802,130.699,161.747
20191007-1150-FRANKFURT_2-01-191,Strecksprung,10.945,21.529,0.848,18.804,3.188,77.401,-1.631,29.957,0.836,15.36,3.052,73.963,-1.529,25.412
20191007-1150-FRANKFURT_2-01-196,Fliffis B,33.729,19.455,3.052,93.07,-235.523,415.983,122.103,180.494,3.076,88.323,-235.062,409.903,122.021,175.473
20191007-1150-FRANKFURT_2-01-197,Salto B,17.68,19.832,16.532,24.289,213.354,198.857,-12.65,40.893,16.397,19.243,213.145,189.759,-12.417,29.178
20191007-1150-FRANKFURT_2-01-198,Fliffis C,39.272,20.797,-65.814,59.127,-245.276,400.191,131.232,161.807,-65.663,53.707,-245.767,394.331,130.583,156.497
20191007-1150-FRANKFURT_2-01-200,Strecksprung,10.157,19.735,-1.801,22.502,1.315,64.659,0.558,21.979,-1.873,20.54,1.159,61.508,0.039,15.957
20191007-1150-FRANKFURT_2-01-212,Fliffis B,33.257,16.446,-9.99,87.565,-226.9,432.201,124.672,172.63,-10.161,82.916,-226.448,426.332,124.188,167.657
20191007-1150-FRANKFURT_2-01-213,Salto B,18.598,21.279,21.214,28.016,210.334,221.635,-8.488,43.213,21.072,22.246,209.986,210.059,-8.002,33.048
20191007-1150-FRANKFURT_2-01-214,Fliffis C,39.427,19.393,-58.753,65.25,-263.304,393.755,122.962,174.644,-58.295,60.191,-263.424,388.358,122.54,170.148
20191007-1150-FRANKFURT_2-01-219,Strecksprung,10.843,22.691,-1.396,19.267,2.728,63.819,-0.279,26.004,-1.369,16.446,2.822,60.332,-0.038,20.539
20191007-1150-FRANKFURT_2-01-220,Strecksprung,10.658,22.749,0.535,13.455,0.091,56.369,1.422,15.915,0.561,10.615,0.105,53.399,1.187,10.368
20191007-1150-FRANKFURT_2-01-222,Fliffis B,35.765,19.63,-20.539,82.073,-231.975,419.767,129.577,173.189,-20.603,77.258,-231.472,414.501,129.913,165.439
20191007-1150-FRANKFURT_2-01-223,Salto B,17.31,19.244,15.008,27.045,205.531,200.986,-7.653,34.146,15.117,22.13,204.958,191.097,-7.814,22.789
20191007-1150-FRANKFURT_2-01-224,Fliffis C,38.83,20.984,-68.455,83.199,-252.848,395.641,121.17,164.68,-68.358,78.793,-252.181,391.824,121.241,159.692
20191007-1150-FRANKFURT_2-01-225,Salto A,14.372,17.826,21.725,23.189,218.126,54.317,6.194,29.177,21.615,19.035,217.281,45.622,6.177,21.155
20191007-1150-FRANKFURT_2-01-231,Strecksprung,10.652,22.558,1.472,15.449,2.723,63.793,1.281,29.875,1.597,13.115,2.811,60.503,1.195,25.709
20191007-1150-FRANKFURT_2-01-233,Fliffis B,35.54,19.028,-32.557,80.339,-213.555,436.453,121.874,173.852,-32.378,75.503,-213.137,430.045,122.301,165.615
20191007-1150-FRANKFURT_2-01-234,Salto B,16.49,17.912,20.846,21.606,210.794,199.861,-4.906,30.638,20.477,14.217,210.041,189.823,-5.656,20.908
20191007-1150-FRANKFURT_2-01-235,Fliffis C,39.748,21.067,-54.973,83.278,-256.335,395.632,125.376,166.543,-54.709,78.387,-255.146,391.667,125.742,161.858
20191007-1150-FRANKFURT_2-01-236,Salto A,15.4,18.727,26.239,18.676,214.826,42.452,8.768,33.763,26.243,15.303,214.498,30.884,8.327,23.221
20191007-1159-FRANKFURT_1-01-8,Salto C,16.659,22.685,4.23,28.122,208.401,229.721,7.568,34.867,4.292,23.528,208.243,217.5,7.59,24.614
20191007-1159-FRANKFURT_1-01-9,Salto C,13.793,18.357,-5.295,21.77,210.22,217.701,-3.884,32.537,-5.254,17.52,210.286,201.235,-3.895,20.586
20191007-1159-FRANKFURT_1-01-10,Salto C,18.351,22.927,-10.174,24.718,207.221,232.786,-1.073,37.559,-10.105,17.678,207.322,220.176,-1.315,26.547
20191007-1159-FRANKFURT_1-01-11,Salto C,18.977,22.41,-8.375,36.048,212.053,241.992,12.756,39.607,-8.345,32.416,211.492,230.229,12.716,26.333
20191007-1159-FRANKFURT_1-01-15,Strecksprung,11.195,23.671,-2.225,15.736,-2.997,74.34,4.264,29.217,-2.22,13.058,-3.101,72.613,4.552,26.229
20191007-1159-FRANKFURT_1-01-19,Salto C,14.51,19.136,0.738,39.193,209.244,224.726,-5.097,38.578,1.033,32.714,209.445,213.925,-5.2,25.923
20191007-1159-FRANKFURT_1-01-20,Salto C,16.217,22.7,-4.816,31.208,212.847,200.215,2.473,47.71,-4.693,24.456,212.569,184.191,2.231,23.569
20191007-1159-FRANKFURT_1-01-21,Salto C,19.955,25.229,-7.689,21.842,203.402,211.084,-2.126,35.979,-8.345,14.836,202.988,199.462,-1.665,26.89
20191007-1159-FRANKFURT_1-01-22,Strecksprung,11.046,22.942,1.838,17.937,-14.413,66.082,9.708,34.368,1.614,16.79,-14.512,60.393,9.214,26.804
20191007-1159-FRANKFURT_1-01-33,Salto C,14.352,18.95,10.483,36.571,203.11,219.113,-0.599,59.892,10.698,30.889,203.183,195.321,-0.809,38.175
